pop,iMass,age,Fe/H_initial,Mass,In_Final_Phase,Dist,l,b,vr_bc,mul,mub,x,y,z,U,V,W,VR_LSR,A_Ks,logL,logTeff,logg,Fe/H_evolved,log_radius,phase,Bessell_B,Bessell_V,Bessell_I,Gaia_G_EDR3,Gaia_BP_EDR3,Gaia_RP_EDR3,2MASS_J,2MASS_H,2MASS_Ks,Z087,W146,Is_Binary,primary_ID,ID,combined_logL,total_mass,q,combined_logP
0.0000000e+00,1.3444966e-01,1.0000000e+01,1.8964382e-01,1.3444849e-01,0.0000000e+00,6.8836357e+00,1.9990621e-01,1.5994684e+00,-2.1581746e+02,-6.6928324e+00,-6.6887598e+00,-1.2967037e+00,2.4007747e-02,1.9483448e-01,-1.9644341e+02,2.6471581e+01,-2.1598966e+02,-2.0630985e+02,5.4014206e-01,-2.8701913e+00,3.4478015e+00,5.1443336e+00,2.4539885e-01,-8.0802148e-01,0.0000000e+00,4.4259578e+01,3.9190435e+01,3.1415834e+01,3.4713438e+01,3.9769855e+01,3.1616247e+01,2.5955111e+01,2.4383785e+01,2.3678252e+01,2.9858404e+01,2.5712170e+01,0.0000000e+00,0.0,000000011,,,,
0.0000000e+00,1.6050301e-01,1.0000000e+01,1.0253029e-01,1.6050136e-01,0.0000000e+00,6.8925025e+00,2.0035272e-01,1.5999403e+00,4.9302437e+01,-7.3757045e+00,-4.0878930e-01,-1.2878415e+00,2.4092358e-02,1.9512030e-01,6.3373538e+01,4.7835210e+00,-4.2998479e+00,5.8810259e+01,5.4014546e-01,-2.6248711e+00,3.4771574e+00,5.1036630e+00,1.5313332e-01,-7.4407330e-01,0.0000000e+00,4.2678968e+01,3.7682473e+01,3.0482693e+01,3.3730602e+01,3.8273060e+01,3.0733956e+01,2.5437358e+01,2.3869027e+01,2.3179279e+01,2.9075807e+01,2.5148480e+01,0.0000000e+00,0.0,000000012,,,,
0.0000000e+00,9.7371989e-02,1.0000000e+01,-8.0136655e-02,9.7371989e-02,0.0000000e+00,6.9615272e+00,1.9985840e-01,1.6000631e+00,-2.4130874e+01,-9.9898620e+00,9.3908553e-01,-1.2188405e+00,2.4273592e-02,1.9691899e-01,-1.0873646e+01,-8.4159731e+01,3.8134282e+01,-1.4623211e+01,5.4017204e-01,,,,,,,,,,,,,,,,,,0.0000000e+00,0.0,000000013,,,,
0.0000000e+00,1.8210177e-01,1.0000000e+01,4.5996005e-01,1.8210039e-01,0.0000000e+00,7.0996702e+00,2.0010318e-01,1.6000474e+00,-7.1949091e+01,-3.6929254e+00,2.5047833e+00,-1.0807445e+00,2.4785591e-02,2.0048732e-01,-6.0769235e+01,1.2105308e+02,9.0191881e+01,-6.2441343e+01,5.4022533e-01,-2.7016454e+00,3.4137507e+00,4.9953150e+00,5.4735251e-01,-6.5564687e-01,0.0000000e+00,4.4866707e+01,3.9904554e+01,3.1636921e+01,3.4907812e+01,4.0435948e+01,3.1710438e+01,2.5546728e+01,2.4041563e+01,2.3279223e+01,2.9842647e+01,2.5382337e+01,0.0000000e+00,0.0,000000014,,,,
0.0000000e+00,1.5132299e-01,1.0000000e+01,3.3290829e-01,1.5132171e-01,0.0000000e+00,7.0543116e+00,1.9978130e-01,1.5999195e+00,2.9166296e+01,-3.5351169e+00,-1.0036427e+00,-1.1260872e+00,2.4587628e-02,1.9929931e-01,4.3335907e+01,1.2748866e+02,-2.5018494e+01,3.8673913e+01,5.4020780e-01,-2.8456165e+00,3.4266647e+00,5.0845587e+00,4.0324567e-01,-7.5346042e-01,0.0000000e+00,4.4876934e+01,3.9841245e+01,3.1739067e+01,3.5023933e+01,4.0395938e+01,3.1865701e+01,2.5906456e+01,2.4364056e+01,2.3630758e+01,3.0040475e+01,2.5708921e+01,0.0000000e+00,0.0,000000015,,,,
0.0000000e+00,1.4858501e-01,1.0000000e+01,4.9773302e-01,1.4858409e-01,0.0000000e+00,7.0348163e+00,1.9997964e-01,1.6003621e+00,-1.0197065e+02,1.6326589e+00,-3.6633851e+00,-1.1455773e+00,2.4544014e-02,1.9884984e-01,-8.6067977e+01,2.9970227e+02,-1.1698253e+02,-9.2462907e+01,5.4020029e-01,-2.8819505e+00,3.3929978e+00,5.0172333e+00,5.8986119e-01,-7.0429372e-01,0.0000000e+00,4.5821079e+01,4.0842238e+01,3.2307931e+01,3.5569094e+01,4.1355175e+01,3.2325658e+01,2.5946178e+01,2.4448871e+01,2.3670029e+01,3.0406808e+01,2.5813545e+01,0.0000000e+00,0.0,000000016,,,,
0.0000000e+00,3.9255901e-01,1.0000000e+01,3.2356665e-01,3.9255199e-01,0.0000000e+00,7.0782132e+00,2.0035922e-01,1.5999932e+00,-2.1691356e+01,-6.0125071e+00,-2.4097043e+00,-1.1021941e+00,2.4742301e-02,1.9992608e-01,-5.9889228e+00,4.3789278e+01,-7.3610407e+01,-1.2183524e+01,5.4021704e-01,-1.7759779e+00,3.5234138e+00,4.8563039e+00,3.7817454e-01,-4.1213934e-01,0.0000000e+00,3.9451222e+01,3.4708824e+01,2.8132693e+01,3.1292611e+01,3.5300872e+01,2.8413247e+01,2.3470829e+01,2.1915550e+01,2.1250506e+01,2.6862190e+01,2.3130844e+01,0.0000000e+00,0.0,000000017,,,,
0.0000000e+00,2.5500725e-01,1.0000000e+01,-6.2318259e-01,2.5500246e-01,0.0000000e+00,7.0193582e+00,2.0014972e-01,1.6003014e+00,-4.4839988e+01,-9.9914708e+00,2.9651016e+00,-1.1610301e+00,2.4510911e-02,1.9844281e-01,-3.3313678e+01,-8.7030962e+01,1.0524949e+02,-3.5332191e+01,5.4019433e-01,-1.9430297e+00,3.5683745e+00,5.0152472e+00,-5.9264630e-01,-5.8558677e-01,0.0000000e+00,3.8938455e+01,3.4013463e+01,2.8298123e+01,3.1139815e+01,3.4613603e+01,2.8497852e+01,2.4085387e+01,2.2519137e+01,2.1854850e+01,2.7178504e+01,2.3699852e+01,0.0000000e+00,0.0,000000018,,,,
0.0000000e+00,8.5194163e-02,1.0000000e+01,1.3492999e-01,8.5194163e-02,0.0000000e+00,7.1184666e+00,2.0006334e-01,1.5995841e+00,2.1206043e+01,-1.0134241e+01,-9.8585438e-01,-1.0619531e+00,2.4846268e-02,2.0091556e-01,3.6152446e+01,-9.6299397e+01,-2.4931027e+01,3.0713716e+01,5.4023254e-01,,,,,,,,,,,,,,,,,,0.0000000e+00,0.0,000000019,,,,
0.0000000e+00,4.2815990e-01,1.0000000e+01,1.6172555e-01,4.2815047e-01,0.0000000e+00,7.1957631e+00,1.9972465e-01,1.6000870e+00,5.2200904e+00,-4.8740788e+00,-1.5175426e+00,-9.8468429e-01,2.5073539e-02,2.0297576e-01,2.0035750e+01,7.9363062e+01,-4.3834353e+01,1.4727709e+01,5.4026234e-01,-1.6216417e+00,3.5504752e+00,4.8471956e+00,1.9347889e-01,-3.8909412e-01,0.0000000e+00,3.8598900e+01,3.3803203e+01,2.7638941e+01,3.0677391e+01,3.4401513e+01,2.7904617e+01,2.3220166e+01,2.1637949e+01,2.0981107e+01,2.6448400e+01,2.2843193e+01,0.0000000e+00,0.0,000000020,,,,
0.0000000e+00,3.5910557e-01,1.0000000e+01,3.7536986e-01,3.5909983e-01,0.0000000e+00,7.1705763e+00,1.9995104e-01,1.5998581e+00,-2.3722306e+02,-4.4247528e+00,3.0603124e+00,-1.0098619e+00,2.5014100e-02,2.0229617e-01,-2.2640565e+02,9.4357466e+01,1.0563989e+02,-2.2771539e+02,5.4025263e-01,-1.9203591e+00,3.4977215e+00,4.8592289e+00,4.4399561e-01,-4.3294534e-01,0.0000000e+00,4.0338532e+01,3.5587785e+01,2.8681709e+01,3.1908554e+01,3.6174401e+01,2.8953396e+01,2.3789705e+01,2.2267356e+01,2.1585501e+01,2.7336011e+01,2.3489657e+01,0.0000000e+00,0.0,000000021,,,,
0.0000000e+00,2.3315147e-01,1.0000000e+01,-4.2539769e-02,2.3314827e-01,0.0000000e+00,7.1263535e+00,2.0023904e-01,1.6000185e+00,4.3291890e+01,-4.3345525e+00,-6.2687809e-02,-1.0540703e+00,2.4895637e-02,2.0117334e-01,5.6743645e+01,9.9321324e+01,6.7807419e+00,5.2799682e+01,5.4023558e-01,-2.1631216e+00,3.5225022e+00,5.0112005e+00,1.4592309e-03,-6.0388807e-01,0.0000000e+00,4.0316782e+01,3.5400539e+01,2.9024307e+01,3.2133866e+01,3.6001647e+01,2.9303581e+01,2.4500016e+01,2.2933852e+01,2.2261976e+01,2.7800769e+01,2.4151217e+01,0.0000000e+00,0.0,000000022,,,,
0.0000000e+00,3.1938568e-01,1.0000000e+01,2.8643802e-01,3.1936490e-01,0.0000000e+00,7.1426390e+00,2.0001758e-01,1.6000039e+00,1.8666129e+01,-1.0821152e+01,-2.4554279e+00,-1.0377902e+00,2.4924933e-02,2.0159240e-01,3.4987478e+01,-1.2072299e+02,-7.4851972e+01,2.8173840e+01,5.4024184e-01,-2.0084386e+00,3.4965041e+00,4.8875973e+00,3.6643998e-01,-4.7455043e-01,0.0000000e+00,4.0559468e+01,3.5761649e+01,2.8870709e+01,3.2099953e+01,3.6354495e+01,2.9148245e+01,2.4009103e+01,2.2479048e+01,2.1797077e+01,2.7535054e+01,2.3705965e+01,0.0000000e+00,0.0,000000023,,,,
0.0000000e+00,1.4679720e-01,1.0000000e+01,2.8549865e-01,1.4679589e-01,0.0000000e+00,7.1150154e+00,1.9948106e-01,1.5999215e+00,-1.8851401e+02,-4.9430112e+00,-3.9496868e-01,-1.0654038e+00,2.4761939e-02,2.0086829e-01,-1.7462520e+02,7.8225777e+01,-1.0410100e+01,-1.7900650e+02,5.4023123e-01,-2.8664787e+00,3.4336956e+00,5.1109600e+00,3.4958289e-01,-7.7795334e-01,0.0000000e+00,4.4750255e+01,3.9691909e+01,3.1686714e+01,3.4980259e+01,4.0258105e+01,3.1841940e+01,2.5986252e+01,2.4430019e+01,2.3708961e+01,3.0039033e+01,2.5772080e+01,0.0000000e+00,0.0,000000024,,,,
0.0000000e+00,1.0108744e+00,1.0000000e+01,-1.1520227e-02,1.0102105e+00,0.0000000e+00,7.1909979e+00,2.0020109e-01,1.6004566e+00,5.1977359e+01,-4.9714463e+00,-3.6054300e+00,-9.8944926e-01,2.5116703e-02,2.0289898e-01,6.8629083e+01,7.6324367e+01,-1.1374093e+02,6.1485194e+01,5.4026049e-01,4.0330732e-01,3.7219820e+00,3.8817765e+00,-1.1798927e-02,2.8036689e-01,2.0000000e+00,3.1465856e+01,2.7177859e+01,2.2404206e+01,2.4793926e+01,2.7759148e+01,2.2524837e+01,1.8680968e+01,1.7339400e+01,1.6826209e+01,2.1417389e+01,1.8363891e+01,0.0000000e+00,0.0,000000025,,,,
