field,N,mean_A_filter_direct,median_A_filter_direct,mean_A_old_exbv_times_f,median_A_old_exbv_times_f,mean_A_filter_minus_A_old,median_A_filter_minus_A_old,mean_m_direct_minus_no_ext,mean_m_direct_minus_fallback,median_m_direct_minus_fallback,max_abs_direct_minus_no_ext_minus_A_filter,max_abs_delta_minus_expected,max_abs_input_mag_difference
"l=0.0, b=0.0",4030,4.608047701285291,4.53032576328302,6.012408505526069,5.885201663454573,-1.4043608042407787,-1.3600964766940162,4.608047701285291,-1.4043608042407787,-1.3600964766940162,3.552713678800501e-15,7.105427357601002e-15,0.0
"l=3.0, b=-3.0",189,0.3785404160043398,0.38006171313793186,0.3336045297507026,0.3370129954847554,0.04493588625363717,0.04296215984344187,0.3785404160043398,0.04493588625363715,0.04296215984344087,1.7763568394002505e-15,3.164135620181696e-15,0.0
