     r      z          rho        v_phi  sigma_phi    sigma_r    sigma_z
0.0014 0.0027    6233.3750 3.179177e+01  74.179671  75.102469  79.714077
0.0015 0.0027    6292.2610 3.338261e+01  73.461325  74.728243  79.044415
0.0016 0.0027    6342.6690 3.486952e+01  72.741686  74.359711  78.379442
0.0017 0.0027    6383.8090 3.625575e+01  72.028819  73.989019  77.728462
0.0018 0.0027    6415.1500 3.754592e+01  71.328978  73.620301  77.088994
0.0019 0.0027    6436.4020 3.874926e+01  70.642506  73.255111  76.475163
0.0020 0.0027    6447.4950 3.986600e+01  69.974038  72.893768  75.875280
0.0021 0.0027    6448.5430 4.090369e+01  69.324469  72.536375  75.295873
0.0022 0.0027    6439.8220 4.186750e+01  68.696143  72.184282  74.730987
0.0023 0.0027    6421.7340 4.276315e+01  68.090297  71.837328  74.184006
0.0024 0.0027    6394.7790 4.359652e+01  67.508266  71.497462  73.665158
0.0025 0.0027    6359.5270 4.437049e+01  66.948639  71.165844  73.161632
0.0026 0.0027    6316.5960 4.509019e+01  66.412782  70.840895  72.676709
0.0027 0.0027    6266.6290 4.575686e+01  65.903374  70.524155  72.216756
0.0028 0.0027    6210.2770 4.637835e+01  65.415502  70.214910  71.771848
0.0029 0.0027    6148.1880 4.695523e+01  64.951469  69.912676  71.348382
0.0030 0.0027    6080.9910 4.749232e+01  64.508136  69.618650  70.937829
0.0031 0.0027    6009.3010 4.799109e+01  64.088772  69.332178  70.551772
0.0032 0.0027    5933.7030 4.845711e+01  63.689104  69.055416  70.177591
0.0033 0.0027    5854.7490 4.888858e+01  63.311594  68.785519  69.821202
0.0034 0.0027    5772.9530 4.929025e+01  62.952695  68.523838  69.482867
0.0035 0.0027    5688.7930 4.966514e+01  62.612254  68.270657  69.158969
0.0036 0.0027    5602.7040 5.001353e+01  62.291226  68.025897  68.849997
0.0037 0.0027    5515.0840 5.033774e+01  61.986717  67.787869  68.558645
0.0038 0.0027    5426.2960 5.064024e+01  61.699536  67.557297  68.273827
0.0039 0.0027    5336.6630 5.092199e+01  61.427855  67.335167  68.006970
0.0040 0.0027    5246.4800 5.118423e+01  61.172721  67.119297  67.751272
0.0041 0.0027    5156.0050 5.142854e+01  60.930948  66.910955  67.503786
0.0042 0.0027    5065.4730 5.165742e+01  60.704048  66.710768  67.253416
0.0043 0.0027    4975.0870 5.186740e+01  60.490220  66.516258  67.053280
0.0044 0.0027    4885.0310 5.206437e+01  60.289722  66.328391  66.839102
0.0045 0.0027    4795.4620 5.224813e+01  60.099618  66.147431  66.639619
0.0046 0.0027    4706.5200 5.241957e+01  59.921999  65.973298  66.450894
0.0047 0.0027    4618.3270 5.257964e+01  59.754344  65.804789  66.266432
0.0048 0.0027    4530.9880 5.272878e+01  59.597191  65.644000  66.090369
0.0049 0.0027    4444.5940 5.286699e+01  59.450196  65.488008  65.925460
0.0050 0.0027    4359.2210 5.299449e+01  59.313233  65.337583  65.773398
0.0051 0.0027    4274.9370 5.311399e+01  59.185089  65.192766  65.622717
0.0052 0.0027    4191.7970 5.322434e+01  59.066442  65.053567  65.482146
0.0053 0.0027    4109.8460 5.332751e+01  58.955211  64.920371  65.348263
0.0054 0.0027    4029.1240 5.342287e+01  58.851982  64.792667  65.224796
0.0055 0.0027    3949.6610 5.351159e+01  58.755625  64.668921  65.099858
0.0056 0.0027    3871.4810 5.359344e+01  58.666578  64.550876  64.988532
0.0057 0.0027    3794.6040 5.366946e+01  58.583627  64.437229  64.879029
0.0058 0.0027    3719.0420 5.373951e+01  58.507825  64.328247  64.777384
0.0059 0.0027    3644.8100 5.380440e+01  58.437242  64.223886  64.679540
0.0060 0.0027    3571.9180 5.386382e+01  58.373332  64.123945  64.590081
0.0061 0.0027    3500.3700 5.391922e+01  58.314589  64.028114  64.498909
0.0062 0.0027    3430.1680 5.397020e+01  58.259893  63.936909  64.415963
0.0063 0.0027    3361.3120 5.401533e+01  58.213041  63.848636  64.336696
0.0064 0.0027    3293.7980 5.405707e+01  58.169157  63.764871  64.267268
0.0065 0.0027    3227.6190 5.409536e+01  58.130515  63.685955  64.200958
0.0066 0.0027    3162.7650 5.413125e+01  58.095071  63.609160  64.136020
0.0067 0.0027    3099.2270 5.416215e+01  58.064693  63.537213  64.078356
0.0068 0.0027    3036.9920 5.419077e+01  58.037786  63.467901  64.021366
0.0069 0.0027    2976.0460 5.421562e+01  58.015525  63.403380  63.971684
0.0070 0.0027    2916.3730 5.423873e+01  57.996177  63.340492  63.919905
0.0071 0.0027    2857.9570 5.425857e+01  57.980298  63.281624  63.875416
0.0072 0.0027    2800.7800 5.427631e+01  57.967784  63.225923  63.833700
0.0073 0.0027    2744.8250 5.429193e+01  57.958414  63.173309  63.796499
0.0074 0.0027    2690.0720 5.430577e+01  57.952450  63.123892  63.757965
0.0075 0.0027    2636.5020 5.431740e+01  57.949568  63.077697  63.726995
0.0076 0.0027    2584.0940 5.432760e+01  57.948792  63.034400  63.695163
0.0077 0.0027    2532.8290 5.433594e+01  57.951481  62.993927  63.669762
0.0078 0.0027    2482.6850 5.434300e+01  57.956482  62.955743  63.645162
0.0079 0.0027    2433.6420 5.434929e+01  57.963386  62.920393  63.623847
0.0080 0.0027    2385.6790 5.435292e+01  57.973267  62.887606  63.602800
0.0081 0.0027    2338.7740 5.435596e+01  57.985908  62.857358  63.588361
0.0082 0.0027    2292.9060 5.435839e+01  57.999951  62.829908  63.573060
0.0083 0.0027    2248.0550 5.435991e+01  58.016145  62.804602  63.561406
0.0084 0.0027    2204.1990 5.435911e+01  58.035561  62.781517  63.548073
0.0085 0.0027    2161.3170 5.435797e+01  58.054830  62.761083  63.541519
0.0086 0.0027    2119.3890 5.435635e+01  58.076153  62.742257  63.535487
0.0087 0.0027    2078.3940 5.435396e+01  58.099420  62.726129  63.529258
0.0088 0.0027    2038.3110 5.435011e+01  58.124843  62.711995  63.530471
0.0089 0.0027    1999.1210 5.434626e+01  58.151221  62.699718  63.528914
0.0090 0.0027    1960.8040 5.434175e+01  58.179121  62.689108  63.528313
0.0091 0.0027    1923.3390 5.433620e+01  58.208942  62.680846  63.531393
0.0092 0.0027    1886.7080 5.433077e+01  58.239581  62.674382  63.535515
0.0093 0.0027    1850.8920 5.432473e+01  58.271620  62.669238  63.540249
0.0094 0.0027    1815.8720 5.431780e+01  58.305067  62.666218  63.550294
0.0095 0.0027    1781.6290 5.431084e+01  58.339909  62.664747  63.559304
0.0096 0.0027    1748.1460 5.430336e+01  58.375551  62.664788  63.567469
0.0097 0.0027       0.0000 5.429533e+01  58.412829  62.666429  63.581557
0.0098 0.0027       0.0000 5.428738e+01  58.450410  62.669754  63.594253
0.0099 0.0027       0.0000 5.427933e+01  58.489257  62.674447  63.607542
0.0100 0.0027       0.0000 5.427102e+01  58.528744  62.681029  63.619930
0.0000 0.0028    5008.2420 0.000000e+00  55.714107  55.713576  60.714541
0.0001 0.0028    5014.1300 2.318624e+00  79.433251  79.052267  88.021329
0.0002 0.0028    5031.6390 4.761422e+00  79.589083  78.914749  87.542405
0.0003 0.0028    5060.3150 7.264225e+00  79.584611  78.696323  87.008210
0.0004 0.0028    5099.4160 9.783262e+00  79.452797  78.432341  86.429325
0.0005 0.0028    5147.9280 1.228670e+01  79.210893  78.142577  85.824632
0.0006 0.0028    5204.5980 1.474360e+01  78.872425  77.832622  85.192183
0.0007 0.0028    5267.9740 1.713655e+01  78.451714  77.506073  84.551741
0.0008 0.0028    5336.4460 1.944349e+01  77.960504  77.172647  83.901185
0.0009 0.0028    5408.3030 2.165995e+01  77.408430  76.829106  83.225938
0.0010 0.0028    5481.7900 2.377191e+01  76.809770  76.479850  82.558715
0.0011 0.0028    5555.1630 2.577497e+01  76.173299  76.126399  81.878960
0.0012 0.0028    5626.7460 2.767106e+01  75.509651  75.770345  81.206759
0.0013 0.0028    5694.9820 2.945765e+01  74.826656  75.411151  80.533850
0.0014 0.0028    5758.4690 3.113632e+01  74.134654  75.052161  79.874416
0.0015 0.0028    5815.9950 3.271068e+01  73.436175  74.692002  79.220279
0.0016 0.0028    5866.5550 3.418405e+01  72.737782  74.331453  78.577471
0.0017 0.0028    5909.3620 3.555961e+01  72.045970  73.973852  77.946291
0.0018 0.0028    5943.8430 3.684374e+01  71.364475  73.618379  77.327409
0.0019 0.0028    5969.6320 3.804165e+01  70.697091  73.264596  76.723650
0.0020 0.0028    5986.5540 3.915650e+01  70.045012  72.915453  76.137840
0.0021 0.0028    5994.6020 4.019502e+01  69.411335  72.571232  75.568313
0.0022 0.0028    5993.9150 4.116316e+01  68.798127  72.231965  75.014807
0.0023 0.0028    5984.7550 4.206388e+01  68.207957  71.897354  74.488388
0.0024 0.0028    5967.4820 4.290322e+01  67.637776  71.570335  73.972122
0.0025 0.0028    5942.5300 4.368342e+01  67.090377  71.247859  73.481908
0.0026 0.0028    5910.3850 4.440985e+01  66.566326  70.933094  73.001387
0.0027 0.0028    5871.5730 4.508661e+01  66.064034  70.625618  72.542534
0.0028 0.0028    5826.6340 4.571716e+01  65.584881  70.325226  72.097048
0.0029 0.0028    5776.1180 4.630386e+01  65.127992  70.031490  71.688190
0.0030 0.0028    5720.5750 4.685173e+01  64.692180  69.744649  71.278067
0.0031 0.0028    5660.5440 4.736056e+01  64.279170  69.468202  70.897608
0.0032 0.0028    5596.5450 4.783592e+01  63.885121  69.197020  70.525926
0.0033 0.0028    5529.0760 4.827921e+01  63.509422  68.932724  70.167978
0.0034 0.0028    5458.6030 4.869147e+01  63.155909  68.677356  69.829550
0.0035 0.0028    5385.5660 4.907589e+01  62.819005  68.430259  69.507156
0.0036 0.0028    5310.3680 4.943538e+01  62.498776  68.189171  69.197960
0.0037 0.0028    5233.3850 4.976947e+01  62.198085  67.956402  68.904486
0.0038 0.0028    5154.9580 5.008358e+01  61.911988  67.729068  68.616443
0.0039 0.0028    5075.4000 5.037410e+01  61.641774  67.510619  68.348135
0.0040 0.0028    4994.9930 5.064694e+01  61.387405  67.297823  68.091584
0.0041 0.0028    4913.9910 5.090106e+01  61.147359  67.092919  67.846267
0.0042 0.0028    4832.6250 5.113877e+01  60.920266  66.893179  67.608655
0.0043 0.0028    4751.1000 5.136247e+01  60.704386  66.702145  67.363196
0.0044 0.0028    4669.5970 5.156696e+01  60.504075  66.516008  67.171832
0.0045 0.0028    4588.2810 5.175978e+01  60.315084  66.336716  66.970202
0.0046 0.0028    4507.2940 5.194031e+01  60.135903  66.164403  66.772715
0.0047 0.0028    4426.7630 5.210813e+01  59.969003  65.997136  66.590274
0.0048 0.0028    4346.8010 5.226550e+01  59.810959  65.836711  66.411690
0.0049 0.0028    4267.5050 5.241249e+01  59.662909  65.680416  66.243355
0.0050 0.0028    4188.9610 5.254967e+01  59.524187  65.531293  66.082651
0.0051 0.0028    4111.2420 5.267636e+01  59.395876  65.386640  65.935678
0.0052 0.0028    4034.4110 5.279532e+01  59.275116  65.247324  65.788466
0.0053 0.0028    3958.5240 5.290682e+01  59.161668  65.113720  65.650582
0.0054 0.0028    3883.6270 5.300913e+01  59.057356  64.984890  65.519617
0.0055 0.0028    3809.7590 5.310551e+01  58.959312  64.862140  65.396396
0.0056 0.0028    3736.9520 5.319491e+01  58.867947  64.743068  65.276856
0.0057 0.0028    3665.2340 5.327825e+01  58.783695  64.628558  65.165458
0.0058 0.0028    3594.6270 5.335513e+01  58.705673  64.519296  65.059997
0.0059 0.0028    3525.1540 5.342656e+01  58.634414  64.414054  64.960569
0.0060 0.0028    3456.8300 5.349202e+01  58.568123  64.313196  64.863323
0.0061 0.0028    3389.6680 5.355506e+01  58.505524  64.216231  64.771708
0.0062 0.0028    3323.6780 5.361113e+01  58.451202  64.124426  64.687445
0.0063 0.0028    3258.8640 5.366414e+01  58.399638  64.036174  64.606723
0.0064 0.0028    3195.2280 5.371106e+01  58.355744  63.950922  64.529977
0.0065 0.0028    3132.7720 5.375466e+01  58.315192  63.870341  64.459928
0.0066 0.0028    3071.4910 5.379487e+01  58.278767  63.793238  64.396198
0.0067 0.0028    3011.3820 5.383259e+01  58.245210  63.719535  64.329155
0.0068 0.0028    2952.4370 5.386607e+01  58.217392  63.648800  64.268938
0.0069 0.0028    2894.6480 5.389739e+01  58.191694  63.582229  64.213915
0.0070 0.0028    2838.0040 5.392487e+01  58.170749  63.518462  64.164468
0.0071 0.0028    2782.4960 5.394975e+01  58.153060  63.459416  64.115972
0.0072 0.0028    2728.1090 5.397304e+01  58.138282  63.401539  64.068984
0.0073 0.0028    2674.8320 5.399371e+01  58.127251  63.347000  64.027039
0.0074 0.0028    2622.6480 5.401272e+01  58.118634  63.296086  63.986923
0.0075 0.0028    2571.5440 5.402921e+01  58.113780  63.248193  63.949282
0.0076 0.0028    2521.5040 5.404364e+01  58.111825  63.203533  63.920810
0.0077 0.0028    2472.5110 5.405678e+01  58.112533  63.161845  63.889226
0.0078 0.0028    2424.5480 5.406814e+01  58.115632  63.122522  63.862788
0.0079 0.0028    2377.5990 5.407753e+01  58.121380  63.085924  63.840672
0.0080 0.0028    2331.6460 5.408658e+01  58.129373  63.051758  63.815631
0.0081 0.0028    2286.6720 5.409380e+01  58.139486  63.020119  63.799237
0.0082 0.0028    2242.6580 5.409987e+01  58.151689  62.991009  63.780398
0.0083 0.0028    2199.5870 5.410538e+01  58.166404  62.964229  63.766090
0.0084 0.0028    2157.4410 5.410886e+01  58.183418  62.939999  63.751070
0.0085 0.0028    2116.2020 5.411220e+01  58.201323  62.918191  63.742214
0.0086 0.0028    2075.8520 5.411344e+01  58.220708  62.898032  63.731891
0.0087 0.0028    2036.3730 5.411492e+01  58.242431  62.880388  63.723489
0.0088 0.0028    1997.7470 5.411531e+01  58.265530  62.864668  63.718441
0.0089 0.0028    1959.9580 5.411450e+01  58.290549  62.850867  63.715068
0.0090 0.0028    1922.9860 5.411357e+01  58.316834  62.839031  63.713852
0.0091 0.0028    1886.8160 5.411231e+01  58.343910  62.828678  63.713410
0.0092 0.0028    1851.4290 5.410857e+01  58.374215  62.821195  63.719345
0.0093 0.0028    1816.8090 5.410596e+01  58.404624  62.814540  63.723350
0.0094 0.0028    1782.9390 5.410273e+01  58.436007  62.810002  63.727162
0.0095 0.0028    1749.8030 5.409892e+01  58.469052  62.807119  63.733159
0.0096 0.0028    1717.3840 5.409449e+01  58.503201  62.805677  63.742241
0.0097 0.0028       0.0000 5.409026e+01  58.538944  62.806240  63.742813
0.0098 0.0028       0.0000 5.408536e+01  58.574214  62.807896  63.760187
0.0099 0.0028       0.0000 5.407972e+01  58.612121  62.811367  63.771714
0.0100 0.0028       0.0000 5.407438e+01  58.650180  62.816236  63.784121
0.0000 0.0029    4646.6060 4.929766e-06  55.280141  55.279747  60.195028
0.0001 0.0029    4651.8200 2.266083e+00  79.274884  78.912527  87.918897
0.0002 0.0029    4667.3370 4.650445e+00  79.413700  78.778253  87.451722
0.0003 0.0029    4692.7810 7.094506e+00  79.402839  78.561300  86.930932
0.0004 0.0029    4727.5340 9.554030e+00  79.267554  78.301571  86.364563
0.0005 0.0029    4770.7540 1.199962e+01  79.029375  78.018418  85.779923
0.0006 0.0029    4821.3980 1.440262e+01  78.700216  77.718145  85.180481
0.0007 0.0029    4878.2510 1.674380e+01  78.289926  77.396998  84.560222
0.0008 0.0029    4939.9610 1.900538e+01  77.812552  77.072233  83.927246
0.0009 0.0029    5005.0810 2.117740e+01  77.279523  76.740692  83.281465
0.0010 0.0029    5072.1180 2.325105e+01  76.700213  76.400545  82.638363
0.0011 0.0029    5139.5730 2.522271e+01  76.083480  76.058524  81.979181
0.0012 0.0029    5205.9910 2.708696e+01  75.440161  75.711386  81.324873
0.0013 0.0029    5270.0000 2.884805e+01  74.776886  75.364266  80.679832
0.0014 0.0029    5330.3460 3.050726e+01  74.103842  75.015293  80.036332
0.0015 0.0029    5385.9220 3.206391e+01  73.426310  74.665957  79.398716
0.0016 0.0029    5435.7880 3.352280e+01  72.749490  74.318715  78.772547
0.0017 0.0029    5479.1770 3.488726e+01  72.076672  73.970804  78.165328
0.0018 0.0029    5515.5050 3.616435e+01  71.413585  73.626199  77.564362
0.0019 0.0029    5544.3610 3.735634e+01  70.763880  73.285081  76.977021
0.0020 0.0029    5565.4990 3.846908e+01  70.129248  72.948277  76.406942
0.0021 0.0029    5578.8240 3.950951e+01  69.510290  72.614814  75.845951
0.0022 0.0029    5584.3740 4.048045e+01  68.912311  72.286999  75.295410
0.0023 0.0029    5582.2990 4.138368e+01  68.333570  71.964897  74.787540
0.0024 0.0029    5572.8450 4.222752e+01  67.776620  71.645484  74.283630
0.0025 0.0029    5556.3330 4.301377e+01  67.239483  71.334993  73.794992
0.0026 0.0029    5533.1410 4.374643e+01  66.726332  71.030509  73.327410
0.0027 0.0029    5503.6890 4.443054e+01  66.233792  70.731464  72.878280
0.0028 0.0029    5468.4230 4.506938e+01  65.763165  70.439177  72.443917
0.0029 0.0029    5427.8070 4.566491e+01  65.313189  70.154070  72.026508
0.0030 0.0029    5382.3140 4.622099e+01  64.884237  69.876176  71.624230
0.0031 0.0029    5332.4120 4.673876e+01  64.475499  69.603806  71.240171
0.0032 0.0029    5278.5590 4.722416e+01  64.086537  69.340455  70.873631
0.0033 0.0029    5221.1990 4.767602e+01  63.716372  69.083436  70.520650
0.0034 0.0029    5160.7510 4.809919e+01  63.363673  68.832578  70.176556
0.0035 0.0029    5097.6140 4.849250e+01  63.031012  68.591333  69.859441
0.0036 0.0029    5032.1620 4.886247e+01  62.713680  68.354193  69.547713
0.0037 0.0029    4964.7410 4.920646e+01  62.414943  68.123833  69.248787
0.0038 0.0029    4895.6730 4.952959e+01  62.130573  67.901872  68.964535
0.0039 0.0029    4825.2530 4.983055e+01  61.862563  67.686256  68.694297
0.0040 0.0029    4753.7490 5.011258e+01  61.607896  67.477509  68.435212
0.0041 0.0029    4681.4090 5.037653e+01  61.367955  67.274527  68.186829
0.0042 0.0029    4608.4540 5.062267e+01  61.141368  67.078759  67.948991
0.0043 0.0029    4535.0860 5.085387e+01  60.927458  66.888262  67.723659
0.0044 0.0029    4461.4870 5.106928e+01  60.726287  66.704794  67.508864
0.0045 0.0029    4387.8180 5.127408e+01  60.535096  66.527535  67.277830
0.0046 0.0029    4314.2250 5.146029e+01  60.356295  66.355273  67.101367
0.0047 0.0029    4240.8380 5.163771e+01  60.187894  66.190147  66.913104
0.0048 0.0029    4167.7730 5.180356e+01  60.029386  66.029636  66.734150
0.0049 0.0029    4095.1310 5.195759e+01  59.881064  65.875333  66.564847
0.0050 0.0029    4023.0030 5.210286e+01  59.741904  65.725664  66.400673
0.0051 0.0029    3951.4680 5.223766e+01  59.611580  65.581950  66.245928
0.0052 0.0029    3880.5960 5.236445e+01  59.489131  65.442938  66.097554
0.0053 0.0029    3810.4470 5.248284e+01  59.374649  65.308552  65.956440
0.0054 0.0029    3741.0750 5.259347e+01  59.268089  65.179923  65.824414
0.0055 0.0029    3672.5250 5.269673e+01  59.168429  65.055515  65.693837
0.0056 0.0029    3604.8360 5.279331e+01  59.075756  64.937271  65.575407
0.0057 0.0029    3538.0410 5.288398e+01  58.988727  64.822596  65.458849
0.0058 0.0029    3472.1730 5.296722e+01  58.910007  64.712397  65.349090
0.0059 0.0029    3407.2580 5.304688e+01  58.834887  64.604188  65.238726
0.0060 0.0029    3343.3180 5.311787e+01  58.767687  64.505355  65.146499
0.0061 0.0029    3280.3740 5.318523e+01  58.704655  64.407998  65.048632
0.0062 0.0029    3218.4370 5.324774e+01  58.646941  64.313837  64.960861
0.0063 0.0029    3157.5210 5.330777e+01  58.593951  64.224820  64.873928
0.0064 0.0029    3097.6330 5.336090e+01  58.546602  64.138260  64.792530
0.0065 0.0029    3038.7780 5.341058e+01  58.504168  64.057504  64.721272
0.0066 0.0029    2980.9580 5.345669e+01  58.465128  63.978752  64.652050
0.0067 0.0029    2924.1750 5.349937e+01  58.430425  63.903769  64.584505
0.0068 0.0029    2868.4260 5.353808e+01  58.400575  63.832073  64.523956
0.0069 0.0029    2813.7080 5.357506e+01  58.373081  63.763163  64.462967
0.0070 0.0029    2760.0150 5.360765e+01  58.349774  63.699089  64.409879
0.0071 0.0029    2707.3420 5.363790e+01  58.329984  63.637252  64.358341
0.0072 0.0029    2655.6800 5.366564e+01  58.313470  63.578940  64.310711
0.0073 0.0029    2605.0190 5.369141e+01  58.300300  63.523734  64.264767
0.0074 0.0029    2555.3510 5.371498e+01  58.290224  63.471599  64.222308
0.0075 0.0029    2506.6630 5.373623e+01  58.283181  63.422428  64.183082
0.0076 0.0029    2458.9450 5.375574e+01  58.279127  63.375922  64.146746
0.0077 0.0029    2412.1830 5.377314e+01  58.278247  63.333061  64.116569
0.0078 0.0029    2366.3640 5.378906e+01  58.279092  63.292469  64.084711
0.0079 0.0029    2321.4760 5.380369e+01  58.283131  63.254115  64.054325
0.0080 0.0029    2277.5030 5.381631e+01  58.289352  63.218367  64.031611
0.0081 0.0029    2234.4310 5.382793e+01  58.297562  63.185471  64.009413
0.0082 0.0029    2192.2470 5.383762e+01  58.307479  63.154847  63.987708
0.0083 0.0029    2150.9340 5.384676e+01  58.321180  63.127420  63.972764
0.0084 0.0029    2110.4790 5.385480e+01  58.335302  63.101664  63.958896
0.0085 0.0029    2070.8650 5.386173e+01  58.351869  63.078047  63.946440
0.0086 0.0029    2032.0770 5.386747e+01  58.369545  63.056537  63.933385
0.0087 0.0029    1994.1010 5.387194e+01  58.389414  63.037323  63.924107
0.0088 0.0029    1956.9210 5.387579e+01  58.410270  63.019982  63.914761
0.0089 0.0029    1920.5210 5.387875e+01  58.433627  63.004765  63.909514
0.0090 0.0029    1884.8870 5.388105e+01  58.458114  62.991348  63.906144
0.0091 0.0029    1850.0020 5.388232e+01  58.484660  62.979862  63.904617
0.0092 0.0029    1815.8530 5.388460e+01  58.511281  62.970475  63.892321
0.0093 0.0029    1782.4240 5.388657e+01  58.538738  62.962061  63.890419
0.0094 0.0029    1749.7000 5.388624e+01  58.569133  62.955984  63.893578
0.0095 0.0029    1717.6670 5.388450e+01  58.601190  62.952287  63.903096
0.0096 0.0029       0.0000 5.388335e+01  58.633911  62.949627  63.908530
0.0097 0.0029       0.0000 5.388188e+01  58.667491  62.948749  63.914972
0.0098 0.0029       0.0000 5.387808e+01  58.703204  62.949869  63.930457
0.0099 0.0029       0.0000 5.387572e+01  58.739012  62.951973  63.942784
0.0100 0.0029       0.0000 5.387340e+01  58.775836  62.955416  63.950929
0.0000 0.0030    4319.3510 3.026766e-06  54.890975  54.890492  59.721477
0.0001 0.0030    4323.9930 2.214579e+00  79.137219  78.797573  87.845359
0.0002 0.0030    4337.8160 4.545055e+00  79.265015  78.660996  87.381113
0.0003 0.0030    4360.5030 6.932133e+00  79.246073  78.451392  86.881243
0.0004 0.0030    4391.5380 9.336759e+00  79.109559  78.195451  86.330024
0.0005 0.0030    4430.2140 1.172713e+01  78.874403  77.918479  85.761703
0.0006 0.0030    4475.6530 1.407822e+01  78.552545  77.620629  85.177238
0.0007 0.0030    4526.8310 1.636973e+01  78.154089  77.309298  84.579251
0.0008 0.0030    4582.6040 1.858628e+01  77.690695  76.996441  83.971118
0.0009 0.0030    4641.7430 2.071668e+01  77.172608  76.671700  83.347762
0.0010 0.0030    4702.9680 2.275294e+01  76.610004  76.339934  82.722350
0.0011 0.0030    4764.9870 2.469048e+01  76.013070  76.007185  82.090276
0.0012 0.0030    4826.5350 2.652883e+01  75.388689  75.670508  81.459624
0.0013 0.0030    4886.4030 2.826431e+01  74.746466  75.332518  80.825053
0.0014 0.0030    4943.4730 2.990020e+01  74.090059  74.993254  80.203907
0.0015 0.0030    4996.7410 3.143865e+01  73.431698  74.653875  79.588816
0.0016 0.0030    5045.3350 3.288295e+01  72.774298  74.316356  78.981493
0.0017 0.0030    5088.5260 3.423800e+01  72.121149  73.980134  78.385285
0.0018 0.0030    5125.7340 3.550717e+01  71.475530  73.646733  77.801391
0.0019 0.0030    5156.5280 3.669518e+01  70.842354  73.315840  77.228422
0.0020 0.0030    5180.6180 3.780649e+01  70.222762  72.990575  76.662438
0.0021 0.0030    5197.8460 3.884430e+01  69.620029  72.668563  76.130267
0.0022 0.0030    5208.1740 3.981481e+01  69.036298  72.350836  75.601026
0.0023 0.0030    5211.6680 4.072139e+01  68.471249  72.037020  75.088667
0.0024 0.0030    5208.4820 4.156740e+01  67.926337  71.730281  74.598057
0.0025 0.0030    5198.8460 4.235873e+01  67.401062  71.428431  74.119898
0.0026 0.0030    5183.0450 4.309774e+01  66.895181  71.132447  73.659479
0.0027 0.0030    5161.4110 4.378907e+01  66.411052  70.841465  73.209664
0.0028 0.0030    5134.3090 4.443404e+01  65.948419  70.557849  72.784423
0.0029 0.0030    5102.1280 4.503715e+01  65.506394  70.281749  72.365238
0.0030 0.0030    5065.2670 4.560096e+01  65.081826  70.009722  71.966346
0.0031 0.0030    5024.1320 4.612742e+01  64.678800  69.743945  71.589658
0.0032 0.0030    4979.1200 4.662007e+01  64.294489  69.486609  71.223796
0.0033 0.0030    4930.6240 4.708139e+01  63.928370  69.233382  70.866802
0.0034 0.0030    4879.0180 4.751361e+01  63.578545  68.989961  70.531170
0.0035 0.0030    4824.6630 4.791659e+01  63.248957  68.751242  70.209129
0.0036 0.0030    4767.8990 4.829486e+01  62.934792  68.518289  69.899160
0.0037 0.0030    4709.0450 4.864958e+01  62.636236  68.294695  69.599991
0.0038 0.0030    4648.4000 4.898026e+01  62.354651  68.075543  69.317222
0.0039 0.0030    4586.2380 4.929110e+01  62.087332  67.863186  69.039688
0.0040 0.0030    4522.8140 4.958240e+01  61.832791  67.657090  68.778570
0.0041 0.0030    4458.3640 4.985431e+01  61.594671  67.457301  68.532037
0.0042 0.0030    4393.1000 5.011019e+01  61.367418  67.262880  68.289261
0.0043 0.0030    4327.2180 5.034899e+01  61.154266  67.076371  68.063433
0.0044 0.0030    4260.8940 5.057351e+01  60.952519  66.893463  67.843752
0.0045 0.0030    4194.2880 5.078425e+01  60.761678  66.718330  67.634150
0.0046 0.0030    4127.5460 5.098343e+01  60.581030  66.549451  67.413211
0.0047 0.0030    4060.7960 5.116831e+01  60.412262  66.384689  67.221528
0.0048 0.0030    3994.1560 5.134011e+01  60.253256  66.223651  67.059935
0.0049 0.0030    3927.7300 5.150279e+01  60.103669  66.070015  66.885227
0.0050 0.0030    3861.6110 5.165519e+01  59.963492  65.921102  66.722327
0.0051 0.0030    3795.8820 5.179845e+01  59.832004  65.777323  66.565099
0.0052 0.0030    3730.6180 5.193247e+01  59.707679  65.639362  66.412980
0.0053 0.0030    3665.8820 5.205816e+01  59.591995  65.505253  66.266951
0.0054 0.0030    3601.7330 5.217644e+01  59.483099  65.376142  66.127609
0.0055 0.0030    3538.2200 5.228672e+01  59.381861  65.251606  65.997247
0.0056 0.0030    3475.3890 5.238952e+01  59.287955  65.132353  65.871607
0.0057 0.0030    3413.2790 5.248721e+01  59.198818  65.017442  65.754706
0.0058 0.0030    3351.9270 5.257739e+01  59.117550  64.906782  65.643024
0.0059 0.0030    3291.3650 5.266249e+01  59.041333  64.799559  65.534504
0.0060 0.0030    3231.6210 5.274078e+01  58.971360  64.698322  65.432225
0.0061 0.0030    3172.7170 5.281505e+01  58.905724  64.600047  65.332212
0.0062 0.0030    3114.6720 5.288369e+01  58.846904  64.505955  65.238929
0.0063 0.0030    3057.5030 5.294820e+01  58.792389  64.415780  65.151443
0.0064 0.0030    3001.2230 5.300905e+01  58.740656  64.326146  65.066232
0.0065 0.0030    2945.8410 5.306258e+01  58.697713  64.242688  64.990847
0.0066 0.0030    2891.3640 5.311565e+01  58.656108  64.162513  64.913094
0.0067 0.0030    2837.7970 5.316279e+01  58.620117  64.086408  64.843871
0.0068 0.0030    2785.1440 5.320752e+01  58.587186  64.017261  64.780110
