     r      z          rho        v_phi  sigma_phi    sigma_r    sigma_z
0.0081 0.0000    3225.5400 5.888158e+01  55.810169  60.268720  60.571905
0.0082 0.0000    3144.0170 5.880197e+01  55.852845  60.274046  60.608220
0.0083 0.0000    3065.1780 5.872405e+01  55.897220  60.280230  60.635685
0.0084 0.0000    2988.9140 5.864635e+01  55.943849  60.288446  60.667850
0.0085 0.0000    2915.1200 5.856985e+01  55.991361  60.297911  60.703243
0.0086 0.0000    2843.6980 5.849453e+01  56.040701  60.309607  60.736678
0.0087 0.0000    2774.5530 5.842031e+01  56.090713  60.321512  60.771912
0.0088 0.0000    2707.5950 5.834699e+01  56.143310  60.336382  60.810030
0.0089 0.0000    2642.7390 5.827634e+01  56.192921  60.351033  60.841990
0.0090 0.0000    2579.9020 5.820292e+01  56.250311  60.368663  60.886629
0.0091 0.0000    2519.0070 5.813267e+01  56.304891  60.388373  60.927566
0.0092 0.0000    2459.9800 5.806252e+01  56.361090  60.409233  60.967446
0.0093 0.0000    2402.7490 5.799489e+01  56.418194  60.434557  61.010047
0.0094 0.0000    2347.2470 5.792744e+01  56.476305  60.459686  61.048683
0.0095 0.0000    2293.4100 5.786087e+01  56.535360  60.484783  61.094547
0.0096 0.0000    2241.1750 5.779545e+01  56.595522  60.510747  61.137388
0.0097 0.0000    2190.4840 5.773135e+01  56.655172  60.539823  61.182789
0.0098 0.0000    2141.2800 5.766634e+01  56.717463  60.567981  61.225350
0.0099 0.0000    2093.5090 5.760572e+01  56.779381  60.596653  61.269613
0.0100 0.0000    2047.1200 5.754439e+01  56.841867  60.627585  61.316374
0.0000 0.0001 2354122.0000 0.000000e+00 243.165952 243.164229 278.364825
0.0001 0.0001 1971324.0000 3.719102e+01 250.746588 229.639596 240.641751
0.0002 0.0001 1088997.0000 4.995369e+01 204.379225 182.437909 187.458013
0.0003 0.0001  640576.7000 5.408369e+01 172.880472 152.653340 156.276839
0.0004 0.0001  418491.8000 5.592438e+01 151.684795 133.513231 136.184983
0.0005 0.0001  296272.2000 5.705654e+01 136.587466 120.363545 122.293558
0.0006 0.0001  222319.7000 5.791236e+01 125.268131 110.837789 112.123280
0.0007 0.0001  174172.4000 5.865977e+01 116.433580 103.663703 104.390817
0.0008 0.0001  140998.4000 5.930940e+01 109.291873  98.053828  98.321090
