field,RAdeg,DEdeg,GLON,GLAT,sigma18,sigma21,N18,N21
BLG535.16,267.195,-32.457,-2.661,-2.404,54.0,581.4,8548,92036
BLG535.17,268.655,-32.157,-1.775,-3.314,130.1,2127.2,20585,336578
BLG535.18,268.472,-32.157,-1.852,-3.181,124.6,2145.2,19714,339434
BLG535.19,268.29,-32.157,-1.931,-3.047,126.8,2212.8,20063,350114
BLG535.20,268.107,-32.157,-2.009,-2.914,132.4,2165.4,20949,342630
BLG535.21,267.925,-32.157,-2.088,-2.781,122.2,2035.6,19335,322084
BLG535.22,267.742,-32.157,-2.166,-2.648,80.6,902.2,12756,142785
BLG535.23,267.56,-32.157,-2.245,-2.515,36.1,400.5,5713,63384
BLG535.24,267.377,-32.157,-2.325,-2.383,25.6,301.1,4053,47676
BLG535.26,268.481,-31.836,-1.571,-3.025,138.4,2239.8,21898,354394
BLG535.27,268.298,-31.836,-1.649,-2.891,139.6,2290.8,22088,362456
BLG535.28,268.116,-31.836,-1.728,-2.757,131.2,2155.2,20759,341016
BLG535.29,267.933,-31.836,-1.807,-2.624,96.2,1320.2,15221,208897
BLG536.01,269.951,-37.085,-5.541,-6.682,64.5,796.5,10896,134552
BLG536.02,269.759,-37.085,-5.616,-6.548,56.6,747.0,9557,126139
BLG536.03,269.567,-37.085,-5.692,-6.414,67.6,842.5,11417,142298
BLG536.04,269.375,-37.085,-5.768,-6.281,66.4,824.3,11209,139159
BLG536.05,269.183,-37.085,-5.843,-6.147,69.4,885.6,11716,149516
BLG536.06,268.991,-37.085,-5.92,-6.014,70.1,903.6,11831,152518
BLG536.07,268.799,-37.085,-5.996,-5.881,68.4,912.8,11544,154063
BLG536.08,270.135,-36.763,-5.187,-6.654,63.9,831.0,10792,140364
BLG536.09,269.943,-36.763,-5.262,-6.519,68.5,851.5,11558,143675
BLG536.10,269.75,-36.763,-5.338,-6.385,72.0,887.5,12149,149766
BLG536.11,269.558,-36.763,-5.414,-6.251,75.0,925.2,12658,156164
BLG536.12,269.366,-36.763,-5.49,-6.116,77.3,978.8,13040,165125
BLG536.13,269.174,-36.763,-5.566,-5.983,75.3,992.8,12703,167487
BLG536.14,268.982,-36.763,-5.643,-5.849,70.7,963.0,11927,162468
BLG536.15,268.79,-36.763,-5.719,-5.715,74.7,1008.0,12605,170083
BLG536.16,268.597,-36.763,-5.796,-5.582,79.4,1103.3,13398,186173
BLG536.17,270.135,-36.464,-4.923,-6.508,76.4,934.2,12897,157704
BLG536.18,269.943,-36.464,-4.999,-6.373,73.9,938.0,12464,158205
BLG536.19,269.75,-36.464,-5.075,-6.238,73.8,951.1,12447,160415
BLG536.20,269.558,-36.464,-5.151,-6.104,79.7,1031.2,13439,173892
BLG536.21,269.366,-36.464,-5.228,-5.969,81.1,1029.3,13672,173522
BLG536.22,269.174,-36.464,-5.305,-5.835,65.6,988.5,11059,166635
BLG536.23,268.982,-36.464,-5.381,-5.7,61.8,939.9,10420,158488
BLG536.24,268.79,-36.464,-5.459,-5.566,70.4,1045.8,11873,176378
BLG536.25,268.597,-36.464,-5.536,-5.432,85.2,1181.4,14376,199360
BLG536.26,269.951,-36.143,-4.713,-6.223,80.6,1010.5,13591,170393
BLG536.27,269.759,-36.143,-4.79,-6.087,78.8,1032.9,13287,174170
BLG536.28,269.567,-36.143,-4.866,-5.952,80.1,1063.0,13506,179254
BLG536.29,269.375,-36.143,-4.943,-5.817,76.9,1060.2,12961,178681
BLG536.30,269.183,-36.143,-5.02,-5.682,72.3,1056.7,12185,178100
BLG536.31,268.991,-36.143,-5.097,-5.547,68.5,1080.1,11553,182171
