field,RAdeg,DEdeg,GLON,GLAT,sigma18,sigma21,N18,N21
BLG500.01,268.526,-29.081,0.829,-1.666,356.6,4333.5,59437,722294
BLG500.02,268.351,-29.081,0.751,-1.534,276.5,3174.1,46075,528914
BLG500.03,268.175,-29.081,0.673,-1.401,225.8,2704.4,37609,450453
BLG500.04,267.999,-29.081,0.595,-1.269,166.7,1588.2,27758,264465
BLG500.05,267.823,-29.081,0.516,-1.137,85.2,829.9,14184,138160
BLG500.08,268.694,-28.759,1.18,-1.63,270.6,4225.4,45092,704120
BLG500.09,268.518,-28.759,1.102,-1.497,277.4,3963.2,46193,659959
BLG500.10,268.342,-28.759,1.024,-1.365,231.3,2724.2,38507,453530
BLG500.11,268.167,-28.759,0.946,-1.232,185.8,1757.4,30932,292575
BLG500.12,267.991,-28.759,0.868,-1.099,141.5,1306.3,23540,217322
BLG500.17,268.694,-28.46,1.438,-1.479,194.3,2456.7,32363,409191
BLG500.18,268.518,-28.46,1.36,-1.346,216.4,2537.1,36018,422287
BLG500.19,268.342,-28.46,1.282,-1.213,208.5,2413.8,34687,401579
BLG500.20,268.167,-28.46,1.204,-1.08,175.8,1573.2,29240,261667
BLG500.21,267.991,-28.46,1.125,-0.947,143.8,1257.9,23912,209173
BLG500.22,267.815,-28.46,1.046,-0.814,132.8,1145.3,22077,190403
BLG500.26,268.526,-28.139,1.641,-1.19,94.4,835.0,15712,138984
BLG500.27,268.351,-28.139,1.563,-1.056,119.1,1071.9,19809,178289
BLG500.28,268.175,-28.139,1.484,-0.923,91.2,843.9,15165,140332
BLG501.01,268.515,-30.304,-0.233,-2.277,246.4,3194.8,40344,523089
BLG501.02,268.338,-30.304,-0.31,-2.144,259.8,4108.6,42558,673033
BLG501.03,268.16,-30.304,-0.388,-2.012,231.3,3628.8,37898,594590
BLG501.04,267.982,-30.304,-0.466,-1.88,215.1,2792.7,35252,457687
BLG501.05,267.804,-30.304,-0.545,-1.748,200.5,2476.2,32867,405923
BLG501.06,267.626,-30.304,-0.623,-1.616,176.0,2062.6,28844,338039
BLG501.07,267.449,-30.304,-0.702,-1.484,103.6,934.9,16983,153258
BLG501.08,268.685,-29.983,0.119,-2.241,321.0,4073.0,52608,667511
BLG501.09,268.507,-29.983,0.041,-2.108,320.2,4318.4,52477,707730
BLG501.10,268.329,-29.983,-0.037,-1.975,318.6,4341.6,52215,711548
BLG501.11,268.152,-29.983,-0.115,-1.843,274.0,4016.2,44937,658685
BLG501.12,267.974,-29.983,-0.193,-1.71,223.9,2647.1,36720,434145
BLG501.13,267.796,-29.983,-0.272,-1.578,206.6,2282.9,33891,374490
BLG501.14,267.618,-29.983,-0.351,-1.445,164.2,1689.0,26936,277063
BLG501.15,267.44,-29.983,-0.43,-1.313,88.8,764.0,14570,125360
BLG501.17,268.685,-29.684,0.378,-2.09,346.1,4124.6,56748,676302
BLG501.18,268.507,-29.684,0.3,-1.957,343.5,4004.1,56348,656836
BLG501.19,268.329,-29.684,0.221,-1.824,307.6,4609.2,50471,756286
BLG501.20,268.152,-29.684,0.143,-1.691,281.5,4125.2,46189,676879
BLG501.21,267.974,-29.684,0.064,-1.558,238.8,2579.1,39182,423175
BLG501.22,267.796,-29.684,-0.015,-1.425,202.8,2096.0,33283,343999
BLG501.23,267.618,-29.684,-0.094,-1.292,175.5,1661.1,28803,272623
BLG501.24,267.44,-29.684,-0.173,-1.159,107.6,1042.5,17655,171055
BLG501.26,268.515,-29.362,0.581,-1.801,287.9,4161.9,47272,683388
BLG501.27,268.338,-29.362,0.502,-1.667,264.0,2974.9,43348,488475
BLG501.28,268.16,-29.362,0.423,-1.533,209.3,2394.5,34358,393078
BLG501.29,267.982,-29.362,0.345,-1.4,190.0,2094.2,31205,343936
BLG501.30,267.804,-29.362,0.266,-1.267,111.5,1092.4,18316,179455
BLG501.31,267.626,-29.362,0.186,-1.134,98.0,847.9,16099,139289
BLG502.01,268.468,-34.008,-3.457,-4.11,116.6,1948.6,19036,318126
BLG502.02,268.283,-34.008,-3.534,-3.977,98.3,1655.0,16052,270266
BLG502.03,268.098,-34.008,-3.612,-3.845,101.0,1721.1,16497,281127
BLG502.04,267.912,-34.008,-3.69,-3.713,112.4,1915.6,18359,312897
BLG502.05,267.727,-34.008,-3.768,-3.581,105.4,1862.5,17220,304305
BLG502.06,267.542,-34.008,-3.846,-3.449,108.5,1725.8,17731,282031
BLG502.07,267.357,-34.008,-3.925,-3.317,110.2,1753.8,18008,286615
BLG502.08,268.644,-33.687,-3.104,-4.075,114.4,2023.5,18677,330362
BLG502.09,268.459,-33.687,-3.182,-3.942,104.4,1831.8,17048,299130
BLG502.10,268.274,-33.687,-3.26,-3.809,97.6,1769.3,15938,288940
BLG502.11,268.089,-33.687,-3.338,-3.676,90.9,1592.5,14847,260113
BLG502.12,267.904,-33.687,-3.416,-3.543,83.9,1261.6,13704,206072
BLG502.13,267.719,-33.687,-3.494,-3.411,87.9,1229.7,14361,200909
BLG502.14,267.534,-33.687,-3.573,-3.278,106.2,1719.4,17355,280986
BLG502.15,267.349,-33.687,-3.652,-3.146,120.5,2013.9,19692,329113
BLG502.16,267.164,-33.687,-3.731,-3.014,125.9,2235.8,20579,365455
BLG502.17,268.644,-33.388,-2.845,-3.925,115.1,2075.2,18800,338975
BLG502.18,268.459,-33.388,-2.923,-3.791,113.8,2009.5,18583,328157
BLG502.19,268.274,-33.388,-3.001,-3.658,116.9,2100.7,19090,343050
BLG502.20,268.089,-33.388,-3.079,-3.525,127.1,2175.6,20755,355282
BLG502.21,267.904,-33.388,-3.158,-3.391,113.9,2023.4,18609,330593
BLG502.22,267.719,-33.388,-3.237,-3.258,115.6,2111.2,18886,344938
BLG502.23,267.534,-33.388,-3.315,-3.125,122.0,2094.1,19932,342136
BLG502.24,267.349,-33.388,-3.395,-2.993,120.6,1992.8,19703,325577
BLG502.25,267.164,-33.388,-3.474,-2.86,125.9,2142.5,20574,350129
BLG502.26,268.468,-33.067,-2.641,-3.636,126.1,2138.6,20602,349414
BLG502.27,268.283,-33.067,-2.719,-3.502,120.2,2155.8,19638,352224
BLG502.28,268.098,-33.067,-2.798,-3.368,119.8,2037.7,19573,332921
BLG502.29,267.912,-33.067,-2.877,-3.234,121.5,2228.4,19850,364086
BLG502.30,267.727,-33.067,-2.956,-3.101,117.8,2077.2,19246,339366
BLG502.31,267.542,-33.067,-3.035,-2.967,110.7,1909.5,18090,312052
BLG502.32,267.357,-33.067,-3.115,-2.834,104.9,1775.8,17138,290123
BLG503.01,268.455,-35.239,-4.529,-4.719,120.4,1704.1,19493,275909
BLG503.02,268.267,-35.239,-4.606,-4.586,165.2,2070.2,26747,335184
BLG503.03,268.079,-35.239,-4.684,-4.454,183.1,2091.7,29638,338575
BLG503.04,267.892,-35.239,-4.762,-4.322,173.6,2058.0,28120,333367
BLG503.05,267.704,-35.239,-4.84,-4.19,163.3,2072.8,26452,335772
BLG503.06,267.516,-35.239,-4.918,-4.058,142.6,2070.1,23126,335726
BLG503.07,267.328,-35.239,-4.997,-3.926,133.4,2016.1,21650,327202
BLG503.08,268.634,-34.918,-4.176,-4.685,122.9,1793.3,19884,290155
BLG503.09,268.446,-34.918,-4.254,-4.551,114.7,1755.2,18553,283922
BLG503.10,268.258,-34.918,-4.332,-4.418,156.9,2021.7,25385,327096
BLG503.11,268.071,-34.918,-4.409,-4.285,177.3,2168.1,28685,350775
BLG503.12,267.883,-34.918,-4.488,-4.153,173.9,2185.8,28142,353732
BLG503.13,267.695,-34.918,-4.566,-4.02,165.8,2161.4,26844,349950
BLG503.14,267.507,-34.918,-4.645,-3.888,143.0,2139.8,23169,346692
BLG503.15,267.32,-34.918,-4.723,-3.755,149.9,2068.6,24304,335396
BLG503.16,267.132,-34.918,-4.802,-3.623,139.7,2111.7,22667,342629
BLG503.17,268.634,-34.618,-3.917,-4.535,141.9,2062.1,22936,333311
BLG503.18,268.446,-34.618,-3.994,-4.401,153.4,2155.2,24789,348292
BLG503.19,268.258,-34.618,-4.072,-4.268,161.4,2068.8,26076,334241
BLG503.20,268.071,-34.618,-4.151,-4.134,175.6,2189.8,28383,353967
BLG503.21,267.883,-34.618,-4.229,-4.001,164.1,2189.6,26537,354089
BLG503.22,267.695,-34.618,-4.308,-3.868,162.9,2298.3,26362,371938
BLG503.23,267.507,-34.618,-4.387,-3.735,149.9,2154.8,24264,348801
BLG503.24,267.32,-34.618,-4.466,-3.602,148.5,2177.8,24055,352769
BLG503.25,267.132,-34.618,-4.545,-3.469,146.7,2566.8,23780,416094
BLG503.26,268.455,-34.297,-3.712,-4.246,150.0,2041.5,24234,329834
BLG503.27,268.267,-34.297,-3.79,-4.112,123.5,1883.6,19948,304250
BLG503.28,268.079,-34.297,-3.869,-3.978,132.0,2019.4,21326,326260
BLG503.29,267.892,-34.297,-3.948,-3.844,137.8,2104.2,22268,340051
BLG503.30,267.704,-34.297,-4.027,-3.711,122.9,2016.3,19875,326072
BLG503.31,267.516,-34.297,-4.106,-3.577,111.3,1888.9,18012,305688
BLG503.32,267.328,-34.297,-4.185,-3.444,111.9,1827.2,18117,295851
BLG504.01,269.913,-28.465,1.971,-2.41,272.6,3769.1,44791,619324
BLG504.02,269.738,-28.465,1.894,-2.276,270.6,3759.2,44463,617689
BLG504.03,269.563,-28.465,1.818,-2.143,237.5,3740.1,38996,614113
BLG504.04,269.389,-28.465,1.741,-2.01,239.8,3224.1,39365,529261
BLG504.05,269.214,-28.465,1.664,-1.877,236.2,3106.2,38774,509899
BLG504.06,269.039,-28.465,1.587,-1.744,200.4,2528.6,32889,414996
BLG504.07,268.865,-28.465,1.51,-1.612,182.8,2455.6,30007,403093
BLG504.08,270.079,-28.144,2.323,-2.378,231.2,3571.9,37980,586777
BLG504.09,269.905,-28.144,2.246,-2.244,227.9,3398.7,37429,558192
BLG504.10,269.73,-28.144,2.17,-2.11,180.9,2515.4,29696,412917
BLG504.11,269.555,-28.144,2.093,-1.977,179.6,2565.6,29468,420955
BLG504.12,269.381,-28.144,2.016,-1.843,214.3,2985.3,35162,489828
BLG504.13,269.206,-28.144,1.939,-1.71,228.5,2923.7,37483,479598
BLG504.14,269.031,-28.144,1.861,-1.577,179.9,2323.3,29510,381116
BLG504.15,268.857,-28.144,1.784,-1.444,146.0,1560.0,23944,255841
BLG504.16,268.682,-28.144,1.706,-1.311,125.3,1259.5,20549,206559
BLG504.17,270.079,-27.845,2.583,-2.229,205.2,2818.4,33701,462896
BLG504.18,269.905,-27.845,2.506,-2.095,196.0,2843.1,32175,466712
BLG504.19,269.73,-27.845,2.429,-1.961,182.4,2590.4,29928,425046
BLG504.20,269.555,-27.845,2.352,-1.827,160.5,2262.4,26322,371048
BLG504.21,269.381,-27.845,2.275,-1.694,124.7,1466.5,20451,240510
BLG504.22,269.206,-27.845,2.198,-1.56,142.8,1574.9,23419,258288
BLG504.23,269.031,-27.845,2.12,-1.426,139.0,1505.5,22785,246787
BLG504.24,268.857,-27.845,2.042,-1.293,117.2,1179.2,19211,193299
BLG504.25,268.682,-27.845,1.964,-1.16,77.6,704.3,12717,115424
BLG504.26,269.913,-27.523,2.789,-1.942,180.3,2546.0,29598,417953
BLG504.27,269.738,-27.523,2.712,-1.808,203.2,2817.2,33325,462034
BLG504.28,269.563,-27.523,2.634,-1.673,182.4,2625.7,29914,430619
BLG504.29,269.389,-27.523,2.557,-1.539,101.2,1122.8,16593,184101
BLG504.30,269.214,-27.523,2.479,-1.405,50.4,498.5,8261,81717
BLG505.01,269.921,-29.692,0.908,-3.024,231.7,3083.7,38193,508305
BLG505.02,269.744,-29.692,0.832,-2.891,260.6,3728.3,42957,614569
BLG505.03,269.567,-29.692,0.755,-2.757,273.9,3794.7,45138,625354
BLG505.04,269.39,-29.692,0.679,-2.624,226.8,3705.6,37376,610687
BLG505.05,269.214,-29.692,0.602,-2.491,214.2,3065.7,35291,505096
BLG505.06,269.037,-29.692,0.525,-2.358,254.9,3288.6,41997,541829
BLG505.07,268.86,-29.692,0.447,-2.226,292.6,3818.8,48197,629036
BLG505.08,270.089,-29.37,1.26,-2.992,212.9,3070.4,35111,506364
BLG505.09,269.912,-29.37,1.184,-2.858,219.8,2996.6,36231,493948
BLG505.10,269.736,-29.37,1.107,-2.725,282.1,3763.6,46501,620379
BLG505.11,269.559,-29.37,1.031,-2.591,254.4,3783.4,41924,623508
BLG505.12,269.382,-29.37,0.954,-2.458,208.1,2933.4,34294,483421
BLG505.13,269.205,-29.37,0.877,-2.324,233.2,3790.4,38422,624506
BLG505.14,269.029,-29.37,0.799,-2.191,228.1,3973.2,37572,654469
BLG505.15,268.852,-29.37,0.722,-2.058,268.4,3996.8,44211,658356
BLG505.16,268.675,-29.37,0.644,-1.925,275.8,4111.7,45419,677118
BLG505.17,270.089,-29.071,1.521,-2.844,330.8,3838.1,54567,633113
BLG505.18,269.912,-29.071,1.444,-2.71,356.1,4023.0,58713,663304
BLG505.19,269.736,-29.071,1.367,-2.576,369.7,3860.0,60940,636278
BLG505.20,269.559,-29.071,1.29,-2.442,286.9,4163.2,47280,686099
BLG505.21,269.382,-29.071,1.213,-2.308,249.8,3985.0,41166,656724
BLG505.22,269.205,-29.071,1.136,-2.174,182.7,2335.9,30101,384871
BLG505.23,269.029,-29.071,1.058,-2.041,205.6,2606.8,33874,429496
BLG505.24,268.852,-29.071,0.98,-1.907,259.7,4341.1,42767,714904
BLG505.25,268.675,-29.071,0.903,-1.774,277.5,4154.1,45698,684093
BLG505.26,269.921,-28.75,1.727,-2.557,312.1,3811.4,51483,628725
BLG505.27,269.744,-28.75,1.65,-2.422,322.2,3910.1,53136,644837
BLG505.28,269.567,-28.75,1.573,-2.288,278.7,3943.3,45951,650171
BLG505.29,269.39,-28.75,1.495,-2.154,269.5,3353.7,44424,552812
BLG505.30,269.214,-28.75,1.418,-2.02,213.9,3022.7,35250,498137
BLG505.31,269.037,-28.75,1.34,-1.885,250.1,3856.0,41206,635314
BLG505.32,268.86,-28.75,1.262,-1.752,226.6,3305.0,37316,544270
BLG506.01,269.916,-30.927,-0.169,-3.632,107.5,1917.9,17046,304121
BLG506.02,269.737,-30.927,-0.246,-3.499,113.9,1931.5,18056,306212
BLG506.03,269.558,-30.927,-0.322,-3.365,140.3,2294.8,22225,363535
BLG506.04,269.379,-30.927,-0.398,-3.232,174.8,2555.1,27684,404671
BLG506.05,269.2,-30.927,-0.475,-3.099,201.9,3291.2,31961,520995
BLG506.06,269.021,-30.927,-0.552,-2.966,216.0,3494.8,34184,553089
BLG506.07,268.842,-30.927,-0.629,-2.834,212.3,3348.6,33591,529824
BLG506.08,270.087,-30.606,0.183,-3.601,157.2,2403.0,24933,381137
BLG506.09,269.908,-30.606,0.107,-3.467,153.0,2393.9,24261,379608
BLG506.10,269.729,-30.606,0.03,-3.333,130.9,2214.1,20751,351005
BLG506.11,269.55,-30.606,-0.046,-3.199,121.7,1984.7,19274,314332
BLG506.12,269.371,-30.606,-0.123,-3.066,127.7,1969.2,20220,311795
BLG506.13,269.192,-30.606,-0.2,-2.932,140.4,2077.8,22225,328927
BLG506.14,269.013,-30.606,-0.277,-2.799,153.8,2318.8,24340,366972
BLG506.15,268.834,-30.606,-0.355,-2.666,137.7,1948.7,21782,308257
BLG506.16,268.655,-30.606,-0.432,-2.533,126.4,1554.9,19989,245912
BLG506.17,270.087,-30.307,0.444,-3.453,194.5,2754.3,30871,437181
BLG506.18,269.908,-30.307,0.367,-3.319,169.8,2469.1,26925,391517
BLG506.19,269.729,-30.307,0.291,-3.185,158.3,2349.8,25095,372518
BLG506.20,269.55,-30.307,0.214,-3.05,148.4,2265.8,23514,359027
BLG506.21,269.371,-30.307,0.137,-2.917,144.0,2272.7,22800,359851
BLG506.22,269.192,-30.307,0.059,-2.783,153.5,2201.1,24299,348430
BLG506.23,269.013,-30.307,-0.018,-2.649,169.0,2306.7,26740,364977
BLG506.24,268.834,-30.307,-0.096,-2.516,170.3,2245.3,26945,355262
BLG506.25,268.655,-30.307,-0.174,-2.382,156.6,1922.1,24765,303968
BLG506.26,269.916,-29.985,0.65,-3.166,222.6,3270.6,35314,518862
BLG506.27,269.737,-29.985,0.574,-3.031,232.9,3269.5,36922,518320
BLG506.28,269.558,-29.985,0.496,-2.897,222.3,3425.6,35232,542925
BLG506.29,269.379,-29.985,0.419,-2.762,188.7,2675.4,29893,423826
BLG506.30,269.2,-29.985,0.341,-2.628,203.8,2765.3,32277,437962
BLG506.31,269.021,-29.985,0.264,-2.494,202.3,3627.4,32024,574228
BLG506.32,268.842,-29.985,0.186,-2.36,266.7,3618.4,42198,572525
BLG507.01,269.919,-32.163,-1.245,-4.244,93.5,1601.5,15237,260991
BLG507.02,269.738,-32.163,-1.321,-4.111,102.2,1715.2,16651,279455
BLG507.03,269.556,-32.163,-1.397,-3.978,110.5,1988.1,18003,323910
BLG507.04,269.375,-32.163,-1.473,-3.845,118.4,2013.0,19290,327976
BLG507.05,269.194,-32.163,-1.55,-3.711,125.5,2140.8,20447,348798
BLG507.06,269.012,-32.163,-1.627,-3.579,126.3,2225.6,20592,362864
BLG507.07,268.831,-32.163,-1.704,-3.446,120.2,2100.7,19602,342590
BLG507.08,270.092,-31.841,-0.892,-4.213,120.9,2095.4,19702,341472
BLG507.09,269.91,-31.841,-0.968,-4.08,108.8,1827.0,17730,297732
BLG507.10,269.729,-31.841,-1.044,-3.946,96.9,1627.7,15791,265261
BLG507.11,269.548,-31.841,-1.121,-3.812,95.8,1597.2,15612,260290
BLG507.12,269.367,-31.841,-1.198,-3.678,109.3,1963.7,17803,319865
BLG507.13,269.185,-31.841,-1.275,-3.545,133.7,2345.2,21783,382101
BLG507.14,269.004,-31.841,-1.352,-3.412,152.3,2592.9,24825,422658
BLG507.15,268.823,-31.841,-1.429,-3.278,152.3,2530.2,24825,412445
BLG507.16,268.641,-31.841,-1.507,-3.145,143.1,2480.8,23342,404681
BLG507.17,270.092,-31.542,-0.631,-4.066,120.5,2065.7,19646,336799
BLG507.18,269.91,-31.542,-0.707,-3.932,104.0,1938.0,16956,315971
BLG507.19,269.729,-31.542,-0.784,-3.797,109.5,1983.0,17844,323155
BLG507.20,269.548,-31.542,-0.861,-3.663,128.4,2180.4,20924,355341
BLG507.21,269.367,-31.542,-0.938,-3.529,121.9,2161.0,19865,352171
BLG507.22,269.185,-31.542,-1.015,-3.395,140.8,2319.4,22945,377993
BLG507.23,269.004,-31.542,-1.092,-3.262,149.0,2454.8,24287,400147
BLG507.24,268.823,-31.542,-1.17,-3.128,158.9,2503.4,25901,408061
BLG507.25,268.641,-31.542,-1.248,-2.995,157.9,2519.9,25750,410961
BLG507.26,269.919,-31.221,-0.424,-3.779,116.9,2043.8,19059,333229
BLG507.27,269.738,-31.221,-0.501,-3.644,109.1,1763.8,17788,287577
BLG507.28,269.556,-31.221,-0.578,-3.51,122.4,2111.9,19956,344324
BLG507.29,269.375,-31.221,-0.655,-3.375,154.1,2398.1,25131,391081
BLG507.30,269.194,-31.221,-0.732,-3.241,164.6,2583.7,26837,421248
BLG507.31,269.012,-31.221,-0.81,-3.107,158.8,2476.8,25897,403923
BLG507.32,268.831,-31.221,-0.888,-2.973,166.6,2496.8,27163,407080
BLG508.01,269.926,-33.393,-2.316,-4.856,84.6,1480.9,13382,234250
BLG508.02,269.742,-33.393,-2.392,-4.723,86.1,1471.9,13619,232834
BLG508.03,269.559,-33.393,-2.468,-4.589,99.0,1641.4,15659,259638
BLG508.04,269.375,-33.393,-2.544,-4.456,104.2,1756.3,16482,277821
BLG508.05,269.191,-33.393,-2.621,-4.323,124.1,2000.7,19611,316166
BLG508.06,269.008,-33.393,-2.697,-4.19,122.3,1899.2,19336,300265
BLG508.07,268.824,-33.393,-2.774,-4.057,124.9,1831.0,19747,289490
BLG508.08,270.101,-33.072,-1.963,-4.826,98.1,1675.5,15525,265161
BLG508.09,269.918,-33.072,-2.039,-4.692,98.8,1634.0,15635,258601
BLG508.10,269.734,-33.072,-2.115,-4.558,94.8,1570.0,14999,248413
BLG508.11,269.55,-33.072,-2.191,-4.424,93.1,1713.4,14730,271102
BLG508.12,269.366,-33.072,-2.268,-4.29,113.2,1888.0,17906,298647
BLG508.13,269.183,-33.072,-2.345,-4.157,122.7,1891.3,19408,299177
BLG508.14,268.999,-33.072,-2.422,-4.023,114.7,1905.4,18143,301399
BLG508.15,268.815,-33.072,-2.499,-3.89,124.0,2415.4,19609,381973
BLG508.16,268.631,-33.072,-2.576,-3.757,123.8,1953.4,19578,308918
BLG508.17,270.101,-32.773,-1.701,-4.679,119.4,1814.6,18905,287316
BLG508.18,269.918,-32.773,-1.777,-4.544,108.6,1774.7,17195,280998
BLG508.19,269.734,-32.773,-1.854,-4.41,105.9,1813.3,16755,286900
BLG508.20,269.55,-32.773,-1.931,-4.276,103.3,1784.2,16340,282228
BLG508.21,269.366,-32.773,-2.008,-4.142,116.9,1893.8,18500,299710
BLG508.22,269.183,-32.773,-2.085,-4.008,116.1,1802.9,18373,285325
BLG508.23,268.999,-32.773,-2.162,-3.874,119.0,2003.0,18828,316916
BLG508.24,268.815,-32.773,-2.239,-3.74,129.6,2736.4,20505,432963
BLG508.25,268.631,-32.773,-2.317,-3.606,133.1,2515.6,21059,398020
BLG508.26,269.926,-32.451,-1.493,-4.392,100.4,1720.7,15904,272581
BLG508.27,269.742,-32.451,-1.57,-4.257,113.9,1830.6,18030,289778
BLG508.28,269.559,-32.451,-1.647,-4.123,113.5,1893.0,17966,299664
BLG508.29,269.375,-32.451,-1.724,-3.988,128.2,1940.9,20303,307390
BLG508.30,269.191,-32.451,-1.802,-3.854,121.8,1957.0,19285,309855
BLG508.31,269.008,-32.451,-1.879,-3.719,105.9,1744.4,16767,276209
BLG508.32,268.824,-32.451,-1.957,-3.585,108.8,2302.0,17218,364314
BLG509.01,269.934,-34.624,-3.389,-5.467,108.4,1638.8,17823,269449
BLG509.02,269.748,-34.624,-3.464,-5.333,126.5,1639.7,20799,269609
BLG509.03,269.561,-34.624,-3.54,-5.2,146.5,1882.9,24094,309681
BLG509.04,269.375,-34.624,-3.616,-5.066,130.7,1768.0,21506,290923
BLG509.05,269.189,-34.624,-3.693,-4.933,130.5,1817.5,21483,299204
BLG509.06,269.002,-34.624,-3.769,-4.8,136.6,1855.9,22493,305599
BLG509.07,268.816,-34.624,-3.846,-4.667,139.8,1924.5,23031,317056
BLG509.08,270.112,-34.302,-3.035,-5.437,103.5,1579.3,17005,259491
BLG509.09,269.925,-34.302,-3.111,-5.303,106.8,1591.9,17552,261623
BLG509.10,269.739,-34.302,-3.187,-5.169,129.3,1791.2,21260,294519
BLG509.11,269.553,-34.302,-3.263,-5.035,135.3,1794.8,22252,295191
BLG509.12,269.366,-34.302,-3.34,-4.901,151.4,1932.5,24912,317991
BLG509.13,269.18,-34.302,-3.416,-4.767,147.2,1919.2,24232,315938
BLG509.14,268.994,-34.302,-3.493,-4.634,151.2,1984.6,24897,326783
BLG509.15,268.807,-34.302,-3.57,-4.5,142.4,1953.8,23459,321883
BLG509.16,268.621,-34.302,-3.648,-4.367,149.9,2142.1,24700,352981
BLG509.17,270.112,-34.003,-2.773,-5.29,116.1,1637.0,19080,269036
BLG509.18,269.925,-34.003,-2.849,-5.156,109.2,1655.9,17955,272273
BLG509.19,269.739,-34.003,-2.926,-5.021,123.1,1718.9,20240,282640
BLG509.20,269.553,-34.003,-3.002,-4.887,128.7,1841.2,21171,302896
BLG509.21,269.366,-34.003,-3.079,-4.753,157.4,2059.2,25905,338913
BLG509.22,269.18,-34.003,-3.156,-4.618,151.6,2007.9,24956,330548
BLG509.23,268.994,-34.003,-3.233,-4.484,150.2,2095.1,24744,345153
BLG509.24,268.807,-34.003,-3.311,-4.351,144.5,2052.7,23805,338167
BLG509.25,268.621,-34.003,-3.388,-4.217,133.9,2004.4,22069,330377
BLG509.26,269.934,-33.682,-2.565,-5.004,110.7,1630.5,18206,268153
BLG509.27,269.748,-33.682,-2.641,-4.869,117.0,1768.5,19242,290858
BLG509.28,269.561,-33.682,-2.718,-4.734,128.2,1913.4,21094,314848
BLG509.29,269.375,-33.682,-2.795,-4.599,151.2,2111.6,24885,347529
BLG509.30,269.189,-33.682,-2.873,-4.465,137.6,1945.3,22652,320251
BLG509.31,269.002,-33.682,-2.95,-4.33,119.4,1936.7,19665,318980
BLG509.32,268.816,-33.682,-3.028,-4.196,120.4,2069.6,19835,340943
BLG510.01,269.943,-35.854,-4.464,-6.075,92.1,1228.0,15014,200205
BLG510.02,269.753,-35.854,-4.539,-5.942,87.5,1224.4,14264,199618
BLG510.03,269.564,-35.854,-4.615,-5.808,91.4,1283.0,14900,209171
BLG510.04,269.375,-35.854,-4.691,-5.675,89.0,1323.1,14509,215701
BLG510.05,269.186,-35.854,-4.767,-5.541,80.9,1302.5,13188,212350
BLG510.06,268.997,-35.854,-4.843,-5.408,84.0,1290.0,13694,210304
BLG510.07,268.807,-35.854,-4.92,-5.275,96.2,1423.8,15683,232125
BLG510.08,270.123,-35.533,-4.11,-6.046,90.0,1254.2,14672,204476
BLG510.09,269.934,-35.533,-4.185,-5.912,92.5,1260.6,15079,205511
BLG510.10,269.745,-35.533,-4.261,-5.778,89.5,1328.3,14590,216556
BLG510.11,269.555,-35.533,-4.337,-5.644,92.4,1320.1,15092,215619
BLG510.12,269.366,-35.533,-4.414,-5.51,92.4,1412.6,15063,230291
BLG510.13,269.177,-35.533,-4.49,-5.376,101.7,1468.0,16579,239331
BLG510.14,268.988,-35.533,-4.567,-5.242,104.4,1533.0,17015,249852
BLG510.15,268.799,-35.533,-4.644,-5.109,105.5,1604.4,17195,261506
BLG510.16,268.609,-35.533,-4.721,-4.975,116.8,1713.3,19036,279247
BLG510.17,270.123,-35.234,-3.847,-5.9,88.6,1278.0,14447,208406
BLG510.18,269.934,-35.234,-3.923,-5.765,95.5,1368.4,15569,223086
BLG510.19,269.745,-35.234,-3.999,-5.631,97.6,1429.7,15915,233135
BLG510.20,269.555,-35.234,-4.076,-5.496,108.3,1501.0,17655,244695
BLG510.21,269.366,-35.234,-4.152,-5.362,109.0,1538.5,17769,250825
BLG510.22,269.177,-35.234,-4.229,-5.228,114.4,1652.5,18650,269393
BLG510.23,268.988,-35.234,-4.306,-5.093,108.4,1706.0,17667,278057
BLG510.24,268.799,-35.234,-4.384,-4.959,100.6,1651.0,16400,269157
BLG510.25,268.609,-35.234,-4.461,-4.826,95.0,1697.9,15483,276745
BLG510.26,269.943,-34.912,-3.638,-5.614,95.7,1384.7,15605,225797
BLG510.27,269.753,-34.912,-3.715,-5.479,110.4,1516.4,17998,247214
BLG510.28,269.564,-34.912,-3.791,-5.344,124.9,1686.7,20362,274969
BLG510.29,269.375,-34.912,-3.868,-5.209,119.1,1697.0,19416,276648
BLG510.30,269.186,-34.912,-3.945,-5.074,109.8,1646.7,17900,268448
BLG510.31,268.997,-34.912,-4.023,-4.94,107.3,1754.6,17488,285978
BLG510.32,268.807,-34.912,-4.1,-4.805,98.1,1578.0,15989,257195
BLG511.01,271.277,-27.851,3.098,-3.155,249.8,2950.3,40999,484240
BLG511.02,271.104,-27.851,3.023,-3.021,219.6,3026.2,36051,496808
BLG511.03,270.93,-27.851,2.948,-2.887,231.6,3074.6,38021,504745
BLG511.04,270.756,-27.851,2.873,-2.753,217.2,2780.3,35666,456550
BLG511.05,270.583,-27.851,2.797,-2.619,223.4,3360.1,36684,551758
BLG511.06,270.409,-27.851,2.721,-2.486,242.0,3374.6,39748,554271
BLG511.07,270.235,-27.851,2.646,-2.352,225.7,3305.7,37070,542946
BLG511.08,271.443,-27.53,3.451,-3.127,274.0,3122.4,44971,512479
BLG511.09,271.269,-27.53,3.376,-2.992,241.7,2956.3,39670,485217
