l,b,n_source,n_lens,sa_source,sa_lens,avg_tau,avg_murel,avg_theta,eventrate_area,eventrate_source,avg_t,avg_logt,stdev_t,stdev_logt,avg_ds,avg_dl,stdev_ds,stdev_dl,stdev_t,frac_bulge_lens,frac_disk_lens,frac_bulge_source,frac_disk_source,n_compact_obj,frac_compact_obj,frac_lowmass,field_id,f_src,f_lens,frac_nsd_lens,frac_nsd_source
0.829,-1.666,4449,6994,3.046174197867086e-09,3.046174197867086e-09,4.421016573619273e-06,6.560415223113169,0.3159219579777557,20391.223866647542,4.583327459349863e-05,22.4290874236105,1.1490364380201312,27.37410584258364,0.4170505746098499,9.604944391535028,7.313522013242383,2.580928400616131,1.393079351688297,27.37410584258364,0.8449457877287294,0.154600077744124,0.7883267697611939,0.20932122080525348,662,0.16834662615316173,0.08644705767989928,BLG500.01,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/src/Huston2025_kirkpatrick_min001_l0.829_b-1.666.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/lens/Huston2025_kirkpatrick_min001_l0.829_b-1.666.h5,0.00021258812754930938,0.00038548340716240643
0.751,-1.534,4547,4202,2.738815221302297e-09,1.7421070237601863e-09,4.302312629955103e-06,6.570523477283114,0.29898275079745534,23960.028165779135,4.737730662822086e-05,21.115527988469363,1.1418860108098534,22.617030817898833,0.40638038600492227,9.728133113712605,7.354458089435969,2.8815115648207126,1.4562581401236019,22.617030817898833,0.8538782784180081,0.14571490097393267,0.7743589954306352,0.22494639207375167,427,0.15121466260872346,0.07684174782964832,BLG500.02,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/src/Huston2025_kirkpatrick_min001_l0.751_b-1.534.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/lens/Huston2025_kirkpatrick_min001_l0.751_b-1.534.h5,0.0002534854916761467,0.0002406968157597725
0.673,-1.401,3971,4440,2.409219173093078e-09,1.6583372333188415e-09,4.753062209015287e-06,6.6421692621567345,0.28607846293299477,27359.665774920122,5.449196590628135e-05,20.282027620599507,1.1302633247034706,21.585502499091422,0.39925540011131316,9.74019336495769,7.437065389735164,2.845061629773093,1.279682129114259,21.585502499091422,0.8559488596949861,0.1411745620113358,0.7671029751537948,0.23100960756627423,412,0.14687386246308876,0.0746967181786688,BLG500.03,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/src/Huston2025_kirkpatrick_min001_l0.673_b-1.401.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/lens/Huston2025_kirkpatrick_min001_l0.673_b-1.401.h5,0.001532365910882268,0.0016391397888329661
0.595,-1.269,4536,4320,2.4268869834407073e-09,1.4941484440538053e-09,4.822113836621111e-06,6.68623535220659,0.2748705621267161,31958.391711380293,5.6131505018643476e-05,19.97565917083361,1.117257868704076,22.09261504693385,0.40640041735386645,9.758406166761194,7.493677253139427,2.587185796042397,1.2171137671063061,22.09261504693385,0.8643620023017734,0.13344450491084991,0.7358452005196894,0.26120247918608563,404,0.15819288006363186,0.08694337042227382,BLG500.04,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/src/Huston2025_kirkpatrick_min001_l0.595_b-1.269.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/lens/Huston2025_kirkpatrick_min001_l0.595_b-1.269.h5,0.0019434157426577682,0.0017068031447319497
0.516,-1.137,4412,4118,2.1402419914214144e-09,1.3832677032514437e-09,5.4915746856290495e-06,6.650868468751902,0.2894934870629986,37946.550846346596,6.042893613926364e-05,21.131109157953905,1.1330052193435871,23.60128448666271,0.4158453483830803,9.942583476378022,7.471630796462347,2.874634499634962,1.3255557165838041,23.60128448666271,0.8571981585632525,0.13831741282540544,0.7204117481878444,0.27493742954957806,374,0.16332484195570957,0.07636228439429842,BLG500.05,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/src/Huston2025_kirkpatrick_min001_l0.516_b-1.137.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/lens/Huston2025_kirkpatrick_min001_l0.516_b-1.137.h5,0.004328858013378143,0.003749096596450299
1.18,-1.63,3999,3070,2.697691869631091e-09,1.3436674386791714e-09,4.385106835346087e-06,6.584809766248254,0.306523435158691,21204.86687092335,4.6959315080994534e-05,21.713446964973553,1.1555410858285455,23.23992533103529,0.40473504092977003,9.519665984757856,7.224923603303488,2.595634335272635,1.4558762201661064,23.23992533103529,0.8344629344082288,0.16468340434858011,0.7934406352030191,0.20602422137214607,306,0.16461478996741027,0.08022743699743068,BLG500.08,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/src/Huston2025_kirkpatrick_min001_l1.180_b-1.630.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/lens/Huston2025_kirkpatrick_min001_l1.180_b-1.630.h5,0.00031097006164356226,0.0003248188199604522
1.102,-1.497,4194,4213,2.6983011044706647e-09,1.7509409289340007e-09,4.861462410359734e-06,6.898487123815801,0.36979288203041544,23864.552121914618,5.0403481806370935e-05,22.427287048969333,1.1616728458126737,23.87758717494062,0.41446443613888,9.669578308552278,7.141457363739533,2.777340342704592,1.739057246896575,23.87758717494062,0.8195157542118563,0.17975864901735897,0.7709700079179949,0.22749814020456452,421,0.190838308924542,0.07133463700346872,BLG500.09,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/src/Huston2025_kirkpatrick_min001_l1.102_b-1.497.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/lens/Huston2025_kirkpatrick_min001_l1.102_b-1.497.h5,0.00018410446382652158,0.0009812315209631643
1.024,-1.365,4350,4377,2.5734079623581138e-09,1.6622972597760685e-09,4.713272884256776e-06,6.537901885440804,0.28138020745979575,26907.480733080327,5.225618327196841e-05,20.972743538742957,1.1292717875762224,24.2385633710598,0.4108500507175961,9.763378152428153,7.462282197253088,2.841036772270759,1.2106822925914145,24.2385633710598,0.8756048020036981,0.12256352412739116,0.741900015711854,0.2560436245607313,412,0.16236055866570356,0.08178934459035037,BLG500.10,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/src/Huston2025_kirkpatrick_min001_l1.024_b-1.365.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/lens/Huston2025_kirkpatrick_min001_l1.024_b-1.365.h5,0.0009080562452425003,0.0012188329735538846
0.946,-1.232,4386,4290,2.3662681169031523e-09,1.5191270724763156e-09,5.093160828722315e-06,6.640816072345832,0.285377033603001,32274.505912542343,5.7161049231333545e-05,20.718463561342386,1.1276676061279685,22.83227818173164,0.4127805497324768,9.739951467937475,7.44747985004483,2.693499566923798,1.227903578649134,22.83227818173164,0.8702565994819039,0.12729170636784312,0.7439684793559765,0.25220402194707653,393,0.16066768346645696,0.0810420629816755,BLG500.11,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/src/Huston2025_kirkpatrick_min001_l0.946_b-1.232.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/lens/Huston2025_kirkpatrick_min001_l0.946_b-1.232.h5,0.0021052084480848213,0.0034391578692327925
0.868,-1.099,4208,4277,2.1582144191888303e-09,1.416471002008195e-09,5.640377259043737e-06,6.698742602846407,0.29862123098016585,35682.22556004954,6.0078081771138556e-05,21.830437672269873,1.1404869642849857,24.967037071840018,0.42215904788121605,9.819840991782652,7.3845348126067245,2.783793847790828,1.3475968727551573,24.967037071840018,0.8369565136424038,0.15820047305268878,0.7212285787038597,0.27466392746287965,411,0.1532440466349975,0.08383142540120275,BLG500.12,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/src/Huston2025_kirkpatrick_min001_l0.868_b-1.099.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/lens/Huston2025_kirkpatrick_min001_l0.868_b-1.099.h5,0.003871506540864612,0.002504673288782359
1.438,-1.479,3050,3129,2.0515983222634823e-09,1.3247811586523957e-09,4.122592217531877e-06,6.591856711358779,0.2791938312812872,21380.214134505688,4.721171875275273e-05,20.304435291111897,1.129676929933038,21.74498025842236,0.40077521588453274,9.542459823311846,7.305305067519325,2.6719613744694866,1.293928236000373,21.74498025842236,0.8469251379175955,0.1519690358043137,0.7796884184178153,0.21947132938333191,264,0.13091130107406004,0.0809692277998714,BLG500.17,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/src/Huston2025_kirkpatrick_min001_l1.438_b-1.479.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/lens/Huston2025_kirkpatrick_min001_l1.438_b-1.479.h5,0.00031239607176659565,0.0002764348636907455
1.36,-1.346,4393,4305,2.69038105155621e-09,1.6933682365943129e-09,4.502568388623454e-06,6.514725492240797,0.27437359516025733,25184.394823990577,5.06325005885465e-05,20.6776551959245,1.1288668428620137,23.24591234613764,0.4065277188141991,9.80998875843411,7.458365648529474,2.8924674670504524,1.182373829084446,23.24591234613764,0.8885850480736496,0.11012635424324319,0.7400106838813126,0.257997406917982,398,0.1464478392494138,0.08212588288530806,BLG500.18,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/src/Huston2025_kirkpatrick_min001_l1.360_b-1.346.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/lens/Huston2025_kirkpatrick_min001_l1.360_b-1.346.h5,0.001036924688253401,0.0011929998117967513
1.282,-1.213,4280,4150,2.4497332899247104e-09,1.5733489731983496e-09,4.9827362838547225e-06,6.572277103740467,0.29554256309368154,28585.158629674635,5.371071161211296e-05,21.571350899932664,1.1520385067471854,23.205993014604378,0.40581387510877204,9.919402140497482,7.371012025317894,2.935298890452759,1.312908276886046,23.205993014604378,0.8558903968143289,0.14084451637559928,0.7064571616930474,0.29113209445217203,383,0.14693749043327445,0.08298045458477761,BLG500.19,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/src/Huston2025_kirkpatrick_min001_l1.282_b-1.213.h5,/System/Volumes/Data/mnt/g3/scratch/rileypatlak/code/synthpop/outputfiles/ogle_chips_kirkpatrick_min001/lens/Huston2025_kirkpatrick_min001_l1.282_b-1.213.h5,0.0021472594533259045,0.001478645538964659
