field_id,GLON,GLAT,avg_tau_model,avg_tau_ogle,avg_tau_model_over_ogle,avg_tau_frac_resid,avg_tau_abs_resid,eventrate_source_model,eventrate_source_ogle,eventrate_source_model_over_ogle,eventrate_source_frac_resid,eventrate_source_abs_resid,eventrate_area_model,eventrate_area_ogle,eventrate_area_model_over_ogle,eventrate_area_frac_resid,eventrate_area_abs_resid,avg_t_model,avg_t_ogle,avg_t_model_over_ogle,avg_t_frac_resid,avg_t_abs_resid
BLG547,-0.9252,-7.7037,0.39876522884152316,0.19,2.098764362323806,1.0987643623238061,0.20876522884152315,2.8910317981421083,1.3,2.223870613955468,1.223870613955468,1.5910317981421083,71.21254692826682,3.1,22.97178933169897,21.97178933169897,68.11254692826682,32.15557345873302,32.6,0.9863672840102155,-0.01363271598978455,-0.4444265412669779
BLG657,2.3179,-7.2216,0.482054399218749,0.32,1.5064199975585906,0.5064199975585906,0.16205439921874898,3.6407453169976614,2.6,1.4002866603837159,0.40028666038371585,1.0407453169976613,114.63160637430738,7.2,15.921056440876026,14.921056440876026,107.43160637430738,30.89895906097385,27.2,1.1359911419475681,0.13599114194756812,3.698959060973852
BLG546,0.153,-7.0928,0.5076710492730481,0.45,1.1281578872734401,0.12815788727344013,0.05767104927304806,3.8337704155988077,3.4,1.1275795339996493,0.12757953399964927,0.4337704155988078,129.46290358432344,8.4,15.412250426705171,14.412250426705171,121.06290358432344,30.87635511656996,30.7,1.0057444663377837,0.0057444663377836935,0.17635511656996172
BLG597,-2.028,-6.951,0.5111070111460827,0.56,0.9126910913322904,-0.08730890866770957,-0.04889298885391735,3.8325158477100505,4.0,0.9581289619275126,-0.041871038072487377,-0.1674841522899495,132.8687076062237,11.1,11.97015383839853,10.97015383839853,121.7687076062237,31.10926374231844,31.6,0.9844703715923556,-0.01552962840764438,-0.4907362576815615
BLG526,1.226,-6.4752,0.6291783160817862,0.31,2.0296074712315684,1.0296074712315684,0.3191783160817862,5.009923583559652,2.3,2.178227645025936,1.178227645025936,2.709923583559652,227.4993871013055,7.8,29.166588089910963,28.166588089910963,219.6993871013055,29.316977890520484,31.3,0.936644661038993,-0.06335533896100698,-1.983022109479517
BLG588,-0.9534,-6.3377,0.6499404210740651,0.4,1.6248510526851627,0.6248510526851627,0.2499404210740651,5.170718386670962,2.7,1.915080883952208,0.915080883952208,2.4707183866709617,249.64706270643384,9.1,27.43374315455317,26.43374315455317,240.54706270643385,29.308121737909126,33.9,0.8645463639501217,-0.13545363604987826,-4.591878262090873
BLG525,2.2975,-5.8574,0.7539324180702586,0.4,1.8848310451756463,0.8848310451756463,0.35393241807025855,6.3541852956006,3.2,1.9856829048751874,0.9856829048751874,3.1541852956006,379.6693540496563,15.1,25.143665831103068,24.143665831103068,364.5693540496563,27.72397921607638,29.9,0.9272233851530562,-0.07277661484694375,-2.1760207839236188
BLG573,0.1216,-5.7276,0.8086166203750428,0.4,2.0215415509376067,1.0215415509376067,0.40861662037504276,6.844162707477366,3.7,1.8497737047236125,0.8497737047236125,3.144162707477366,452.2091129136958,16.9,26.757935675366618,25.757935675366618,435.3091129136958,27.58477999576058,25.0,1.1033911998304233,0.10339119983042333,2.584779995760581
BLG516,-2.0711,-5.587,0.8462155315347183,0.5,1.6924310630694366,0.6924310630694366,0.3462155315347183,7.004783884190746,4.6,1.522779105258858,0.522779105258858,2.4047838841907465,483.5842366263434,21.5,22.49229007564388,21.49229007564388,462.0842366263434,28.147391270090633,25.3,1.1125451094897483,0.11254510948974827,2.8473912700906325
BLG521,1.1905,-5.1086,1.0169060355982626,0.59,1.7235695518614622,0.7235695518614622,0.4269060355982627,9.083574858976082,4.5,2.0185721908835736,1.0185721908835736,4.583574858976082,798.792734309724,24.7,32.33978681415886,31.339786814158863,774.0927343097239,26.144102768498794,30.9,0.846087468236207,-0.15391253176379305,-4.755897231501205
BLG515,-0.9993,-4.9741,1.0864436912854967,0.74,1.4681671503858063,0.46816715038580625,0.3464436912854967,9.51797668662095,5.7,1.6698204713370086,0.6698204713370086,3.8179766866209492,916.8667958223378,29.6,30.975229588592494,29.975229588592494,887.2667958223378,26.653289284555875,30.5,0.8738783371985532,-0.12612166280144677,-3.846710715444125
BLG520,2.2603,-4.4933,1.229235208179005,0.71,1.731317194618317,0.731317194618317,0.519235208179005,11.477390555177356,5.6,2.0495340277102425,1.0495340277102425,5.877390555177357,1301.0010316050736,40.5,32.12348226185367,31.123482261853667,1260.5010316050736,25.0255860745195,29.5,0.8483249516786271,-0.1516750483213729,-4.474413925480501
BLG514,0.0747,-4.3626,1.4158317253333468,0.68,2.082105478431392,1.0821054784313922,0.7358317253333467,12.953107934175124,6.2,2.08921095712502,1.0892109571250201,6.753107934175124,1686.0607349486177,39.8,42.363335048960245,41.363335048960245,1646.2607349486177,25.42951072431179,25.2,1.009107568425071,0.009107568425070989,0.22951072431179043
BLG508,-2.1341,-4.2222,1.3934689520748675,0.83,1.6788782555118886,0.6788782555118886,0.5634689520748676,12.880075828818798,6.8,1.8941287983557056,0.8941287983557056,6.080075828818798,1756.0411662844313,42.3,41.513975562279704,40.513975562279704,1713.7411662844313,25.28056354628717,28.5,0.8870373174135849,-0.11296268258641506,-3.219436453712831
BLG513,1.1399,-3.7432,1.648306169239542,0.89,1.8520294036399347,0.8520294036399347,0.758306169239542,16.549330899104586,8.5,1.9469801057770102,0.9469801057770102,8.049330899104586,2831.7701912811062,76.0,37.26013409580403,36.26013409580403,2755.7701912811062,23.2799702490854,24.4,0.9540971413559591,-0.04590285864404087,-1.1200297509145969
BLG507,-1.0641,-3.6101,1.793460306989086,1.21,1.4821986008174264,0.4821986008174264,0.583460306989086,17.6865203731328,12.3,1.4379284856205528,0.43792848562055275,5.3865203731328,3368.2611142240894,87.3,38.58260153750389,37.58260153750389,3280.961114224089,23.652347397060243,22.9,1.0328535981249014,0.032853598124901406,0.7523473970602446
BLG512,2.2154,-3.1355,2.027686250724353,1.44,1.408115451891912,0.4081154518919119,0.587686250724353,20.71457325712419,14.0,1.4796123755088708,0.4796123755088708,6.71457325712419,4333.680464459762,148.5,29.18303343070547,28.18303343070547,4185.180464459762,22.830723270965017,24.0,0.951280136290209,-0.04871986370979098,-1.1692767290349835
BLG506,0.0103,-2.9974,2.2802587362590825,1.97,1.1574917442939505,0.15749174429395052,0.3102587362590825,24.356786044696477,16.5,1.4761688511937259,0.4761688511937259,7.856786044696477,6271.139742011383,137.4,45.64148283851079,44.64148283851079,6133.739742011383,21.79874406348829,28.0,0.7785265736960103,-0.2214734263039897,-6.201255936511711
BLG535,-2.2129,-2.8632,2.2510687381144634,1.67,1.3479453521643494,0.3479453521643494,0.5810687381144635,22.52041198251261,15.2,1.4816060514810927,0.4816060514810927,7.32041198251261,5587.752780365386,85.2,65.58395282118997,64.58395282118997,5502.552780365386,23.27454654870726,25.7,0.9056243793271308,-0.0943756206728692,-2.4254534512927393
BLG505,1.087,-2.389,2.848191717285604,2.09,1.362771156595983,0.362771156595983,0.7581917172856043,31.541134903229423,22.2,1.420771842487812,0.42077184248781196,9.341134903229424,10412.215237616234,265.3,39.24694774827076,38.24694774827076,10146.915237616235,21.03214905409436,21.8,0.9647774795456129,-0.03522252045438712,-0.7678509459056393
BLG534,-1.1356,-2.2547,3.0714519505702826,1.55,1.9815819035937308,0.9815819035937308,1.5214519505702826,33.701368653422996,17.2,1.9593818984548255,0.9593818984548255,16.501368653422997,12404.386001729647,104.8,118.36246184856533,117.36246184856533,12299.586001729647,21.286418762396476,20.8,1.0233855174229074,0.023385517422907398,0.4864187623964753
BLG504,2.1491,-1.7747,3.5446475353143225,1.45,2.444584507113326,1.4445845071133259,2.094647535314323,37.01786151168022,16.9,2.1904060066082973,1.1904060066082973,20.117861511680225,13634.91629155128,134.3,101.52581006367296,100.52581006367296,13500.616291551281,22.2493771071934,20.0,1.11246885535967,0.11246885535967,2.2493771071934
BLG501,-0.0608,-1.64,4.101308089942387,2.13,1.9254967558414964,0.9254967558414964,1.9713080899423874,46.46205740389205,24.1,1.92788619933162,0.9278861993316201,22.362057403892045,22679.204165800387,222.9,101.74609316195777,100.74609316195777,22456.304165800386,20.528069263210792,20.5,1.001369232351746,0.0013692323517460192,0.028069263210792172
